state,candidate,race_type,won
FL,Mario Diaz-Balart,house,TRUE
FL,Debbie Mucarsel-Powell,house,TRUE
FL,Donna Shalala,house,TRUE
GA,Buddy Carter,house,TRUE
GA,Sanford D. Bishop Jr.,house,TRUE
GA,A. Drew Ferguson,house,TRUE
GA,Hank Johnson,house,TRUE
GA,John Lewis,house,TRUE
GA,Karen C. Handel,house,FALSE
GA,Rob Woodall,house,
GA,Austin Scott,house,TRUE
GA,Doug Collins,house,TRUE
GA,Jody Hice,house,TRUE
GA,Barry Loudermilk,house,TRUE
GA,Rick Allen,house,TRUE
GA,David Scott,house,TRUE
GA,Tom Graves,house,TRUE
HI,Ed Case,house,TRUE
HI,Tulsi Gabbard,house,TRUE
IA,Abby Finkenauer,house,TRUE
IA,David Loebsack,house,TRUE
IA,Cindy Axne,house,TRUE
IA,Steve King,house,TRUE
ID,Russ Fulcher,house,TRUE
ID,Mike Simpson,house,TRUE
IL,Bobby L. Rush,house,TRUE
IL,Robin Kelly,house,TRUE
IL,Daniel Lipinski,house,TRUE
IL,"Jesus ""Chuy"" Garcia",house,TRUE
IL,Mike Quigley,house,TRUE
IL,Sean Casten,house,TRUE
IL,Danny K. Davis,house,TRUE
IL,Raja Krishnamoorthi,house,TRUE
IL,Jan Schakowsky,house,TRUE
IL,Bradley Schneider,house,TRUE
IL,Bill Foster,house,TRUE
IL,Mike Bost,house,TRUE
IL,Rodney Davis,house,TRUE
IL,Lauren Underwood,house,TRUE
IL,John Shimkus,house,TRUE
IL,Adam Kinzinger,house,TRUE
IL,Cheri Bustos,house,TRUE
IL,Darin LaHood,house,TRUE
IN,Peter Visclosky,house,TRUE
IN,Jackie Walorski,house,TRUE
IN,Jim Banks,house,TRUE
IN,Jim Baird,house,TRUE
IN,Susan W. Brooks,house,TRUE
IN,Greg Pence,house,TRUE
IN,Andre Carson,house,TRUE
IN,Larry Bucshon,house,TRUE
IN,Trey Hollingsworth,house,TRUE
KS,Roger Marshall,house,TRUE
KS,Paul Davis,house,FALSE
KS,Sharice Davids,house,TRUE
KS,Ron Estes,house,TRUE
KY,James Comer,house,TRUE
KY,Brett S. Guthrie,house,TRUE
KY,John A. Yarmuth,house,TRUE
KY,Thomas Massie,house,TRUE
KY,Harold Rogers,house,TRUE
KY,Andy Barr,house,TRUE
LA,Steve Scalise,house,TRUE
LA,Cedric Richmond,house,TRUE
LA,Clay Higgins,house,TRUE
LA,Mike Johnson,house,TRUE
LA,Ralph Abraham,house,TRUE
LA,Garret Graves,house,TRUE
MA,Richard E. Neal,house,TRUE
MA,James McGovern,house,TRUE
MA,Lori Trahan,house,TRUE
MA,Joseph P. Kennedy III,house,TRUE
MA,Katherine Clark,house,TRUE
MA,Seth Moulton,house,TRUE
MA,Ayanna Pressley,house,TRUE
MA,Stephen F. Lynch,house,TRUE
MA,William Keating,house,TRUE
MD,Andy Harris,house,TRUE
MD,C. A. Dutch Ruppersberger,house,TRUE
MD,John P. Sarbanes,house,TRUE
MD,Anthony Brown,house,TRUE
MD,Steny H. Hoyer,house,TRUE
MD,David Trone,house,TRUE
MD,Elijah Cummings,house,TRUE
MD,Jamie Raskin,house,TRUE
ME,Chellie Pingree,house,TRUE
ME,Jared Golden,house,TRUE
MI,Jack Bergman,house,TRUE
MI,Bill Huizenga,house,TRUE
MI,Justin Amash,house,TRUE
MI,John Moolenaar,house,TRUE
MI,Daniel Kildee,house,TRUE
MI,Fred Upton,house,TRUE
MI,Tim Walberg,house,TRUE
MI,Elissa Slotkin,house,TRUE
MI,Andy Levin,house,TRUE
MI,Paul Mitchell,house,TRUE
MI,Haley Stevens,house,TRUE
MI,Debbie Dingell,house,TRUE
MI,Rashida Tlaib,house,TRUE
MI,Brenda Lawrence,house,TRUE
MN,Dan Feehan,house,FALSE
MN,Angie Craig,house,TRUE
MN,Dean Phillips,house,TRUE
MN,Betty McCollum,house,TRUE
MN,Ilhan Omar,house,TRUE
MN,Tom Emmer,house,TRUE
MN,Collin C. Peterson,house,TRUE
MN,Pete Stauber,house,TRUE
MO,"William ""Lacy"" Clay Jr.",house,TRUE
MO,Ann Wagner,house,TRUE
MO,Blaine Luetkemeyer,house,TRUE
MO,Vicky Hartzler,house,TRUE
MO,Emanuel Cleaver,house,TRUE
MO,Sam Graves,house,TRUE
MO,Billy Long,house,TRUE
MO,Jason Smith,house,TRUE
MS,Trent Kelly,house,TRUE
MS,Bennie G. Thompson,house,TRUE
MS,Michael Guest,house,TRUE
MS,Steven Palazzo,house,TRUE
MT,Greg Gianforte,house,TRUE
NC,G.K. Butterfield,house,TRUE
NC,George Holding,house,TRUE
NC,Walter B. Jones,house,TRUE
NC,David Price,house,TRUE
NC,Virginia Foxx,house,TRUE
NC,Mark Walker,house,TRUE
NC,David Rouzer,house,TRUE
NC,Richard Hudson,house,TRUE
NC,Dan McCready,house,FALSE
NC,Patrick T. McHenry,house,TRUE
NC,Mark Meadows,house,TRUE
NC,Alma Adams,house,TRUE
NC,Ted Budd,house,TRUE
ND,Kelly Armstrong,house,TRUE
NE,Jeff Fortenberry,house,TRUE
NE,Don Bacon,house,TRUE
NE,Adrian Smith,house,TRUE
NH,Chris Pappas,house,TRUE
NH,Ann Kuster,house,TRUE
NJ,Donald Norcross,house,TRUE
NJ,Jeff Van Drew,house,TRUE
NJ,Andy Kim,house,TRUE
NJ,Chris Smith,house,TRUE
NJ,Josh Gottheimer,house,TRUE
NJ,Frank Pallone Jr.,house,TRUE
NJ,Tom Malinowski,house,TRUE
NJ,Albio Sires,house,TRUE
NJ,Bill Pascrell Jr.,house,TRUE
NJ,Donald Payne Jr.,house,TRUE
NJ,Mikie Sherrill,house,TRUE
NJ,Bonnie Watson Coleman,house,TRUE
NM,Debra A. Haaland,house,TRUE
NM,Xochitl Torres Small,house,TRUE
NM,Ben R. Lujan,house,TRUE
NV,Dina Titus,house,TRUE
NV,Mark Amodei,house,TRUE
NV,Susie Lee,house,TRUE
