state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
CA,NA,Eric Swalwell,D,true,1,77.54,72.99,82.12,house,15,TRUE
CA,NA,Jim Costa,D,true,0.9841,58.23,53.63,62.85,house,16,TRUE
CA,NA,Ro Khanna,D,true,1,80.23,74.99,85.51,house,17,TRUE
CA,NA,Anna G. Eshoo,D,true,1,78.83,73.96,83.74,house,18,TRUE
CA,NA,Zoe Lofgren,D,true,1,86.29,82.4,90.15,house,19,TRUE
CA,NA,Jimmy Panetta,D,true,0.9998,77.1,70.26,83.66,house,20,TRUE
CA,NA,David Valadao,R,true,0.839,53.75,48.86,58.64,house,21,TRUE
CA,NA,Devin Nunes,R,true,0.9749,56.12,52.28,59.97,house,22,TRUE
CA,NA,Kevin McCarthy,R,true,0.9995,64.62,59.94,69.34,house,23,TRUE
CA,NA,Salud Carbajal,D,true,0.9905,58.87,54.34,63.37,house,24,TRUE
CA,NA,Katie Hill,D,false,0.5593,50.5,46.25,54.79,house,25,TRUE
CA,NA,Julia Brownley,D,true,0.9999,67.51,62.67,72.33,house,26,TRUE
CA,NA,Judy Chu,D,true,1,75.47,70.37,80.51,house,27,TRUE
CA,NA,Adam Schiff,D,true,1,81.88,77.79,85.93,house,28,TRUE
CA,NA,Tony Cárdenas,D,true,1,81.3,76.38,86.27,house,29,NA
CA,NA,Brad Sherman,D,true,1,77.36,72.94,81.73,house,30,TRUE
CA,NA,Pete Aguilar,D,true,0.9992,63.33,58.68,68,house,31,TRUE
CA,NA,Grace Napolitano,D,true,1,83.24,79.12,87.34,house,32,TRUE
CA,NA,Ted Lieu,D,true,1,73.78,68.72,78.84,house,33,TRUE
CA,NA,Jimmy Gomez,D,true,0.9997,81.94,75.32,88.25,house,34,TRUE
CA,NA,Norma Torres,D,true,1,74.55,69.8,79.26,house,35,TRUE
CA,NA,Raul Ruiz,D,true,0.9987,62.71,58.09,67.37,house,36,TRUE
CA,NA,Karen Bass,D,true,1,90.71,87.43,94,house,37,TRUE
CA,NA,Linda Sánchez,D,true,1,72.41,67.8,77.05,house,38,NA
CA,NA,Gil Cisneros,D,false,0.5177,50.14,46.09,54.22,house,39,NA
CA,NA,Lucille Roybal-Allard,D,true,0.9996,77.5,70.66,84.08,house,40,TRUE
CA,NA,Mark Takano,D,true,0.9999,68.08,63.27,72.93,house,41,TRUE
CA,NA,Ken Calvert,R,true,0.9876,58.88,54.1,63.72,house,42,TRUE
CA,NA,Maxine Waters,D,true,1,79.03,74.34,83.83,house,43,TRUE
CA,NA,Nanette Diaz Barragán,D,true,1,72.65,67.12,78.09,house,44,NA
CA,NA,Katie Porter,D,false,0.6471,51.14,47.17,55.16,house,45,NA
CA,NA,J. Luis Correa,D,true,1,72.95,68.18,77.76,house,46,TRUE
CA,NA,Alan Lowenthal,D,true,0.9999,68.32,63.72,72.87,house,47,TRUE
CA,NA,Harley Rouda,D,false,0.6279,51.05,46.86,55.27,house,48,TRUE
CA,NA,Mike Levin,D,false,0.9669,55.29,51.72,58.89,house,49,TRUE
CA,NA,Duncan D. Hunter,R,true,0.8157,52.49,48.89,56.07,house,50,TRUE
CA,NA,Juan Vargas,D,true,1,74.32,69.27,79.42,house,51,TRUE
CA,NA,Scott Peters,D,true,0.9996,65,60.19,69.74,house,52,TRUE
CA,NA,Susan Davis,D,true,1,69.28,64.74,73.79,house,53,TRUE
CO,NA,Diana DeGette,D,true,1,71.53,66.76,76.3,house,1,TRUE
CO,NA,Joe Neguse,D,false,0.9996,63.24,58.18,68.22,house,2,TRUE
CO,NA,Scott Tipton,R,true,0.8941,52.28,47.69,56.84,house,3,TRUE
CO,NA,Ken Buck,R,true,0.9814,58.27,53.4,63.12,house,4,TRUE
CO,NA,Doug Lamborn,R,true,0.9878,57.16,52.12,62.14,house,5,TRUE
CO,NA,Jason Crow,D,false,0.8849,51.66,47.59,55.71,house,6,TRUE
CO,NA,Ed Perlmutter,D,true,0.9995,62.61,57.75,67.44,house,7,TRUE
CT,NA,John B. Larson,D,true,0.9999,67.33,62.68,71.94,house,1,TRUE
CT,NA,Joe Courtney,D,true,0.9999,64.83,60.18,69.47,house,2,TRUE
CT,NA,Rosa L. DeLauro,D,true,0.9999,70.53,66.04,74.98,house,3,TRUE
CT,NA,Jim Himes,D,true,0.9999,65.35,60.64,70.08,house,4,TRUE
CT,NA,Jahana Hayes,D,false,0.9879,58.91,54.16,63.66,house,5,TRUE
DE,NA,Lisa Blunt Rochester,D,true,0.9988,62.1,57.74,66.42,house,1,TRUE
FL,NA,Matt Gaetz,R,true,1,70.26,65.76,74.77,house,1,TRUE
FL,NA,Neal Dunn,R,true,0.9998,66.41,61.66,71.14,house,2,TRUE
FL,NA,Ted Yoho,R,true,0.9922,59.57,54.87,64.36,house,3,TRUE
FL,NA,John Rutherford,R,true,0.9999,66.41,61.6,71.1,house,4,TRUE
FL,NA,Al Lawson,D,true,1,71.08,66.58,75.54,house,5,TRUE
FL,NA,Michael Waltz,R,false,0.7842,52.31,48.5,56.09,house,6,TRUE
FL,NA,Stephanie Murphy,D,true,0.97,56.72,52.29,61.2,house,7,TRUE
FL,NA,Bill Posey,R,true,0.9946,60.53,55.75,65.3,house,8,TRUE
FL,NA,Darren Soto,D,true,0.9931,59.71,55.01,64.47,house,9,TRUE
FL,NA,Val Demings,D,true,1,100,100,100,house,10,TRUE
FL,NA,Daniel Webster,R,true,0.9998,65.15,60.39,69.97,house,11,TRUE
FL,NA,Gus M. Bilirakis,R,true,0.9972,58.27,53.98,62.5,house,12,TRUE
FL,NA,Charlie Crist,D,true,0.9989,63.25,58.64,67.89,house,13,TRUE
FL,NA,Kathy Castor,D,true,1,100,100,100,house,14,TRUE
FL,NA,Ross Spano,R,false,0.6354,50.9,47.46,54.37,house,15,TRUE
FL,NA,Vern Buchanan,R,true,0.9019,53.74,50.03,57.39,house,16,TRUE
FL,NA,Greg Steube,R,false,0.9991,62.95,58.17,67.83,house,17,TRUE
FL,NA,Brian Mast,R,true,0.9199,53.99,50.39,57.66,house,18,TRUE
FL,NA,Francis Rooney,R,true,0.9952,59.35,55.02,63.65,house,19,TRUE
FL,NA,Alcee L. Hastings,D,true,1,100,100,100,house,20,TRUE
FL,NA,Lois Frankel,D,true,1,100,100,100,house,21,TRUE
FL,NA,Ted Deutch,D,true,0.9997,65.25,60.62,69.85,house,22,TRUE
FL,NA,Debbie Wasserman Schultz,D,true,0.9998,65.08,60.21,69.89,house,23,TRUE
FL,NA,Frederica Wilson,D,true,1,100,100,100,house,24,TRUE
FL,NA,Mario Diaz-Balart,R,true,0.8351,53.76,48.79,58.75,house,25,TRUE
FL,NA,Debbie Mucarsel-Powell,D,false,0.5024,50.04,45.87,54.22,house,26,TRUE
