state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
NY,NA,Pete King,R,true,0.8518,54.06,49.07,59.07,house,2,TRUE
NY,NA,Thomas Suozzi,D,true,0.9972,62.11,57.18,67.08,house,3,TRUE
NY,NA,Kathleen Rice,D,true,0.9997,65.76,60.89,70.61,house,4,TRUE
NY,NA,Gregory W. Meeks,D,true,1,100,100,100,house,5,TRUE
NY,NA,Grace Meng,D,true,1,84.62,78.19,90.57,house,6,TRUE
NY,NA,Nydia M. Velázquez,D,true,1,89.93,84.42,94.82,house,7,NA
NY,NA,Hakeem Jeffries,D,true,1,89.47,83.88,94.48,house,8,TRUE
NY,NA,Yvette D. Clarke,D,true,1,83.83,79.35,88.24,house,9,TRUE
NY,NA,Jerrold Nadler,D,true,1,80.53,75.67,85.37,house,10,TRUE
NY,NA,Daniel Donovan,R,true,0.7969,51.21,46.92,55.54,house,11,FALSE
NY,NA,Carolyn Maloney,D,true,1,82.33,77.16,87.52,house,12,TRUE
NY,NA,Adriano Espaillat,D,true,1,93.18,90.17,96.21,house,13,TRUE
NY,NA,Alexandria Ocasio-Cortez,D,false,1,79.38,72.34,82.18,house,14,TRUE
NY,NA,José E. Serrano,D,true,1,95.93,93.63,98.24,house,15,NA
NY,NA,Eliot Engel,D,true,1,100,100,100,house,16,TRUE
NY,NA,Nita Lowey,D,true,0.9999,81.51,74.78,87.86,house,17,TRUE
NY,NA,Sean Patrick Maloney,D,true,0.9928,59.91,55.22,64.56,house,18,TRUE
NY,NA,Antonio Delgado,D,false,0.6686,49.75,45.83,53.66,house,19,TRUE
NY,NA,Paul D. Tonko,D,true,0.9999,69.65,65.11,74.2,house,20,TRUE
NY,NA,Elise Stefanik,R,true,0.9417,54.27,49.64,58.9,house,21,TRUE
NY,NA,Anthony Brindisi,D,false,0.6044,50.81,46.85,54.72,house,22,NA
NY,NA,Tom Reed,R,true,0.9214,54.65,50.48,58.89,house,23,TRUE
NY,NA,John Katko,R,true,0.8349,53.13,48.95,57.33,house,24,TRUE
NY,NA,Joseph D. Morelle,D,false,0.9958,59.6,55.37,63.83,house,25,TRUE
NY,NA,Brian Higgins,D,true,1,73.76,69.3,78.25,house,26,TRUE
NY,NA,Chris Collins,R,true,0.7973,51,46.86,55.04,house,27,NA
OH,NA,Steve Chabot,R,true,0.8233,51.3,47.37,55.21,house,1,TRUE
OH,NA,Brad Wenstrup,R,true,0.9918,56.76,52.52,60.99,house,2,TRUE
OH,NA,Joyce Beatty,D,true,1,74.4,69.9,78.86,house,3,TRUE
OH,NA,Jim Jordan,R,true,0.9944,59.61,55.17,64.04,house,4,TRUE
OH,NA,Robert E. Latta,R,true,0.999,61.07,56.31,65.85,house,5,TRUE
OH,NA,Bill Johnson,R,true,0.9999,68.51,63.74,73.32,house,6,TRUE
OH,NA,Bob Gibbs,R,true,0.9847,57.09,53.09,61.1,house,7,TRUE
OH,NA,Warren Davidson,R,true,0.9999,66.68,62.09,71.39,house,8,TRUE
OH,NA,Marcy Kaptur,D,true,1,71.15,66.67,75.62,house,9,TRUE
OH,NA,Michael Turner,R,true,0.9413,54.25,49.43,59.01,house,10,TRUE
OH,NA,Marcia L. Fudge,D,true,1,82.74,78.34,87.13,house,11,TRUE
OH,NA,Troy Balderson,R,true,0.6483,49.76,45.87,53.61,house,12,TRUE
OH,NA,Tim Ryan,D,true,0.9999,68.25,63.73,72.77,house,13,TRUE
OH,NA,David Joyce,R,true,0.8743,54.09,49.49,58.67,house,14,TRUE
OH,NA,Steve Stivers,R,true,0.9865,56.78,52,61.52,house,15,TRUE
OH,NA,Anthony Gonzalez,R,false,0.9742,57.2,52.65,61.79,house,16,TRUE
OK,NA,Kevin Hern,R,false,0.9988,60.78,56.89,64.66,house,1,TRUE
OK,NA,Markwayne Mullin,R,true,0.999,62.29,56.85,67.68,house,2,TRUE
OK,NA,Frank Lucas,R,true,1,71.26,66.18,76.42,house,3,TRUE
OK,NA,Tom Cole,R,true,0.9999,65.87,61.52,70.17,house,4,TRUE
OK,NA,Steve Russell,R,true,0.9337,54.97,50.77,59.18,house,5,FALSE
OR,NA,Suzanne Bonamici,D,true,0.9999,65.57,60.75,70.27,house,1,TRUE
OR,NA,Greg Walden,R,true,0.9941,57.68,52.86,62.47,house,2,TRUE
OR,NA,Earl Blumenauer,D,true,1,74.37,69.62,79.06,house,3,TRUE
OR,NA,Peter DeFazio,D,true,0.997,58.89,54.01,63.73,house,4,TRUE
OR,NA,Kurt Schrader,D,true,0.9423,55.5,49.15,61.81,house,5,TRUE
PA,NA,Brian Fitzpatrick,R,true,0.5938,50.66,46.87,54.44,house,1,TRUE
PA,NA,Brendan Boyle,D,true,1,79.55,75.16,83.96,house,2,TRUE
PA,NA,Dwight Evans,D,true,1,92.86,89.95,95.77,house,3,TRUE
PA,NA,Madeleine Dean,D,false,0.9995,63.89,59.24,68.53,house,4,TRUE
PA,NA,Mary Gay Scanlon,D,false,0.9997,66.04,61.08,70.94,house,5,TRUE
PA,NA,Chrissy Houlahan,D,false,0.9897,58.99,54.34,63.63,house,6,TRUE
PA,NA,Susan Wild,D,false,0.9395,53.37,49.22,57.46,house,7,TRUE
PA,NA,Matt Cartwright,D,true,0.9662,55.55,51.77,59.34,house,8,TRUE
PA,NA,Dan Meuser,R,false,0.9989,61.05,56.9,65.21,house,9,TRUE
PA,NA,Scott Perry,R,true,0.7125,51.54,47.94,55.18,house,10,TRUE
PA,NA,Lloyd Smucker,R,true,0.9831,57.18,53.05,61.33,house,11,TRUE
PA,NA,Tom Marino,R,true,0.9999,66.54,61.8,71.22,house,12,TRUE
PA,NA,John Joyce,R,false,0.9999,65.7,61.17,70.25,house,13,TRUE
PA,NA,Guy Reschenthaler,R,false,0.9896,59.24,54.44,64.04,house,14,TRUE
PA,NA,Glenn W. Thompson,R,true,1,71.28,66.46,76.1,house,15,TRUE
PA,NA,Mike Kelly,R,true,0.8904,52.66,48.5,56.78,house,16,TRUE
PA,NA,Conor Lamb,D,true,0.9621,55.38,51.6,59.16,house,17,TRUE
PA,NA,Mike Doyle,D,true,1,100,100,100,house,18,TRUE
RI,NA,David Cicilline,D,true,1,71.69,66.88,76.39,house,1,TRUE
RI,NA,Jim Langevin,D,true,0.9999,69.23,64.5,73.87,house,2,TRUE
SC,NA,Katie Arrington,R,false,0.9137,54,50.25,57.76,house,1,FALSE
SC,NA,Joe Wilson,R,true,0.9957,59.11,54.22,63.97,house,2,TRUE
SC,NA,Jeff Duncan,R,true,0.9995,63.73,58.9,68.53,house,3,TRUE
SC,NA,William Timmons,R,false,0.9999,65.11,60.38,69.79,house,4,TRUE
SC,NA,Ralph Norman,R,true,0.9924,57.99,53.21,62.69,house,5,TRUE
SC,NA,James E. Clyburn,D,true,1,72.74,67.87,77.62,house,6,TRUE
SC,NA,Tom Rice,R,true,0.9959,60.46,55.82,65.03,house,7,TRUE
SD,NA,Dusty Johnson,R,false,0.9964,57.01,52.74,61.25,house,1,TRUE
TN,NA,Phil Roe,R,true,1,73.24,68.31,78.17,house,1,TRUE
TN,NA,Tim Burchett,R,false,0.9999,63.97,59.22,68.71,house,2,TRUE
TN,NA,Chuck Fleischmann,R,true,0.9995,63.46,58.55,68.34,house,3,TRUE
TN,NA,Scott DesJarlais,R,true,0.9959,59.14,54.2,64.06,house,4,TRUE
TN,NA,Jim Cooper,D,true,0.9999,68.58,64.28,72.94,house,5,TRUE
TN,NA,John Rose,R,false,1,69.2,64.24,74.13,house,6,TRUE
TN,NA,Mark E. Green,R,false,0.9999,64.9,59.99,69.74,house,7,TRUE
TN,NA,David Kustoff,R,true,0.9999,68.32,63.5,73.09,house,8,TRUE
TN,NA,Steve Cohen,D,true,1,76.84,71.77,81.86,house,9,TRUE
TX,NA,Louie Gohmert,R,true,1,70.88,65.95,75.78,house,1,TRUE
TX,NA,Dan Crenshaw,R,false,0.946,53.57,49.09,58.06,house,2,TRUE
TX,NA,Van Taylor,R,false,0.9947,58.64,53.69,63.52,house,3,TRUE
TX,NA,John Ratcliffe,R,true,1,74.72,69.86,79.52,house,4,TRUE
TX,NA,Lance Gooden,R,false,0.9996,64.67,60.18,69.22,house,5,TRUE
TX,NA,Ron Wright,R,false,0.9688,54.33,50.17,58.44,house,6,TRUE
TX,NA,John Culberson,R,true,0.5534,50.43,46.22,54.61,house,7,FALSE
TX,NA,Kevin Brady,R,true,1,75.93,71.16,80.63,house,8,TRUE
TX,NA,Al Green,D,true,1,85.33,79.03,91.16,house,9,TRUE
TX,NA,Michael T. McCaul,R,true,0.9716,55.3,50.56,60.06,house,10,TRUE
TX,NA,K. Michael Conaway,R,true,1,78.37,73.56,83.14,house,11,TRUE
TX,NA,Kay Granger,R,true,1,65.56,61.54,69.5,house,12,TRUE
TX,NA,Mac Thornberry,R,true,1,79.98,75.3,84.63,house,13,TRUE
TX,NA,Randy Weber,R,true,0.9946,58.8,53.84,63.74,house,14,TRUE
TX,NA,Vicente Gonzalez,D,true,0.9998,65.57,60.46,70.6,house,15,TRUE
TX,NA,Veronica Escobar,D,false,1,69.94,64.8,75.07,house,16,TRUE
TX,NA,Bill Flores,R,true,0.9989,59.29,55.27,63.34,house,17,TRUE
TX,NA,Sheila Jackson Lee,D,true,1,76.37,71.33,81.43,house,18,TRUE
TX,NA,Jodey Arrington,R,true,1,76.75,72.11,81.46,house,19,TRUE
TX,NA,Joaquin Castro,D,true,0.9999,82,75.34,88.32,house,20,TRUE
TX,NA,Chip Roy,R,false,0.9053,52.15,47.86,56.41,house,21,TRUE
TX,NA,Pete Olson,R,true,0.8809,52.8,47.77,57.84,house,22,TRUE
TX,NA,Will Hurd,R,true,0.7922,51.89,46.7,57.06,house,23,NA
TX,NA,Kenny Marchant,R,true,0.9804,57.77,53.19,62.32,house,24,TRUE
TX,NA,Roger Williams,R,true,0.9625,55.37,50.44,60.32,house,25,TRUE
TX,NA,Michael Burgess,R,true,0.9996,63.44,58.53,68.32,house,26,TRUE
TX,NA,Michael Cloud,R,true,0.9992,61.71,56.7,66.76,house,27,TRUE
TX,NA,Henry Cuellar,D,true,0.9999,81.21,74.52,87.56,house,28,TRUE
TX,NA,Sylvia R. Garcia,D,false,1,71.37,65.72,77.01,house,29,TRUE
TX,NA,Eddie Bernice Johnson,D,true,1,88.5,82.66,93.79,house,30,TRUE
TX,NA,John Carter,R,true,0.949,54,49.72,58.29,house,31,TRUE
TX,NA,Pete Sessions,R,true,0.5374,48.99,44.45,53.5,house,32,FALSE
TX,NA,Marc Veasey,D,true,1,74.19,68.68,79.69,house,33,TRUE
TX,NA,Filemon Vela,D,true,0.9998,68.27,63.07,73.49,house,34,TRUE
TX,NA,Lloyd Doggett,D,true,0.9999,69.26,64.23,74.34,house,35,TRUE
TX,NA,Brian Babin,R,true,1,70.49,65.81,75.16,house,36,TRUE
UT,NA,Rob Bishop,R,true,0.9999,61,55.54,66.39,house,1,TRUE
UT,NA,Chris Stewart,R,true,0.9911,55.25,49.91,60.49,house,2,TRUE
UT,NA,John R. Curtis,R,true,0.9999,64.24,58.54,69.85,house,3,TRUE
UT,NA,Ben McAdams,D,false,0.642,51.08,47.18,55.04,house,4,NA
VA,NA,Robert J. Wittman,R,true,0.9861,58.5,53.85,63.17,house,1,TRUE
VA,NA,Scott Taylor,R,true,0.594,50.65,46.98,54.35,house,2,FALSE
VA,NA,Robert C. Scott,D,true,1,100,100,100,house,3,TRUE
VA,NA,A. Donald McEachin,D,true,0.9997,62.7,57.94,67.44,house,4,TRUE
VA,NA,Denver Riggleman,R,false,0.7004,51.53,47.73,55.34,house,5,TRUE
VA,NA,Ben Cline,R,false,0.9965,60.68,56.12,65.21,house,6,TRUE
VA,NA,Abigail Spanberger,D,false,0.52,48.8,45.06,52.48,house,7,TRUE
VA,NA,Don Beyer,D,true,1,76.01,71.21,80.73,house,8,TRUE
VA,NA,Morgan Griffith,R,true,0.9941,60.52,55.57,65.43,house,9,TRUE
VA,NA,Jennifer Wexton,D,false,0.8886,53.63,49.82,57.45,house,10,TRUE
VA,NA,Gerald E. Connolly,D,true,1,67.24,62.22,72.2,house,11,TRUE
VT,NA,Peter Welch,D,true,1,70.99,65.98,75.93,house,1,TRUE
WA,NA,Suzan DelBene,D,true,0.9996,64.21,59.57,68.93,house,1,TRUE
WA,NA,Rick Larsen,D,true,0.9998,77.76,70.92,84.28,house,2,TRUE
WA,NA,Jaime Herrera Beutler,R,true,0.8139,52.65,48.84,56.47,house,3,TRUE
WA,NA,Dan Newhouse,R,true,0.9973,61.54,56.75,66.39,house,4,TRUE
WA,NA,Cathy McMorris Rodgers,R,true,0.8184,52.87,48.75,57.04,house,5,TRUE
WA,NA,Derek Kilmer,D,true,0.9999,66.99,62.32,71.59,house,6,TRUE
WA,NA,Pramila Jayapal,D,true,1,84.56,80.31,88.79,house,7,TRUE
WA,NA,Kim Schrier,D,false,0.7155,51.74,47.8,55.67,house,8,TRUE
WA,NA,Adam Smith,D,true,0.9857,61.72,54.89,68.6,house,9,TRUE
WA,NA,Denny Heck,D,true,0.9997,65.47,60.9,69.95,house,10,TRUE
WI,NA,Bryan Steil,R,false,0.8111,51.02,46.9,55.08,house,1,TRUE
WI,NA,Mark Pocan,D,true,1,100,100,100,house,2,TRUE
WI,NA,Ron Kind,D,true,0.9979,62.14,57.51,66.78,house,3,TRUE
WI,NA,Gwen Moore,D,true,1,75.93,71.17,80.64,house,4,TRUE
WI,NA,F. James Sensenbrenner,R,true,0.9934,59.93,55.18,64.74,house,5,TRUE
WI,NA,Glenn Grothman,R,true,0.9737,56.41,52.29,60.47,house,6,TRUE
WI,NA,Sean P. Duffy,R,true,0.9962,59.24,54.25,64.15,house,7,TRUE
WI,NA,Mike Gallagher,R,true,0.9967,61.13,56.44,65.84,house,8,TRUE
WV,NA,David McKinley,R,true,0.9997,62.69,58.84,66.62,house,1,TRUE
WV,NA,Alex Mooney,R,true,0.9728,55.23,50.62,59.81,house,2,TRUE
WV,NA,Carol Miller,R,false,0.9034,54.86,50.07,59.68,house,3,TRUE
WY,NA,Liz Cheney,R,true,0.9998,63.11,58.14,68,house,1,TRUE
AK,NA,Mike Dunleavy,R,false,0.7147,51.08,45.74,56.45,governor,NA,TRUE
AL,NA,Kay Ivey,R,true,0.9906,59.05,54.49,63.6,governor,NA,TRUE
AR,NA,Asa Hutchinson,R,true,0.9996,62.48,57.88,67.08,governor,NA,TRUE
AZ,NA,Doug Ducey,R,true,0.9857,55.61,51.91,59.32,governor,NA,TRUE
CA,NA,Gavin Newsom,D,false,0.9936,59.56,55.07,64.04,governor,NA,TRUE
CO,NA,Jared Polis,D,false,0.9253,54.29,49.52,58.97,governor,NA,TRUE
CT,NA,Ned Lamont,D,false,0.7931,50.99,46.78,55.14,governor,NA,TRUE
FL,NA,Andrew Gillum,D,false,0.7783,50.88,47.2,54.54,governor,NA,NA
GA,NA,Brian Kemp,R,false,0.6591,50.36,46.88,53.87,governor,NA,NA
HI,NA,David Ige,D,true,0.9989,63.39,57.74,68.97,governor,NA,TRUE
IA,NA,Fred Hubbell,D,false,0.6362,50.15,46.24,53.99,governor,NA,FALSE
ID,NA,Brad Little,R,false,0.9891,57.32,52.31,62.28,governor,NA,TRUE
IL,NA,JB Pritzker,D,false,0.8759,52.9,46.94,58.88,governor,NA,TRUE
KS,NA,Laura Kelly,D,false,0.5001,44.27,39.05,49.36,governor,NA,TRUE
MA,NA,Charlie Baker,R,true,0.9995,66.99,61.69,72.33,governor,NA,TRUE
MD,NA,Larry Hogan,R,true,0.9868,56.38,51.97,60.77,governor,NA,TRUE
ME,NA,Janet Mills,D,false,0.8975,53.89,48.98,58.74,governor,NA,TRUE
MI,NA,Gretchen Whitmer,D,false,0.9324,53.3,49.11,57.46,governor,NA,TRUE
MN,NA,Tim Walz,D,false,0.9399,54.11,49.79,58.43,governor,NA,TRUE
NE,NA,Pete Ricketts,R,true,0.992,61.06,55.72,66.42,governor,NA,TRUE
NH,NA,Chris Sununu,R,true,0.852,52.96,48.07,57.85,governor,NA,TRUE
NM,NA,Michelle Lujan Grisham,D,false,0.9267,54.32,50.53,58.06,governor,NA,TRUE
NV,NA,Steve Sisolak,D,false,0.6001,49.59,45.6,53.54,governor,NA,TRUE
NY,NA,Andrew Cuomo,D,true,0.9952,58.19,53.43,62.98,governor,NA,TRUE
OH,NA,Richard Cordray,D,false,0.6194,49.95,45.78,54.06,governor,NA,FALSE
OK,NA,Kevin Stitt,R,false,0.8257,52.38,47.99,56.75,governor,NA,TRUE
OR,NA,Kate Brown,D,true,0.7993,49.94,45.1,54.79,governor,NA,TRUE
PA,NA,Tom Wolf,D,true,0.9923,56.81,52.9,60.7,governor,NA,TRUE
RI,NA,Gina Raimondo,D,true,0.9546,54.35,47.81,60.72,governor,NA,TRUE
SC,NA,Henry McMaster,R,true,0.9851,57.69,53.41,61.99,governor,NA,TRUE
SD,NA,Kristi Noem,R,false,0.6537,50.65,45.85,55.46,governor,NA,TRUE
TN,NA,Bill Lee,R,false,0.9881,54.83,50.27,59.34,governor,NA,TRUE
TX,NA,Greg Abbott,R,true,0.9973,58.38,54.5,62.27,governor,NA,TRUE
VT,NA,Phil Scott,R,true,0.9754,53.79,48.4,59.12,governor,NA,TRUE
WI,NA,Tony Evers,D,false,0.6171,49.34,44.75,53.96,governor,NA,TRUE
WY,NA,Mark Gordon,R,false,0.9992,63.05,57.81,68.31,governor,NA,TRUE
CA,NA,Tony Cardenas,NA,NA,NA,NA,NA,NA,house,NA,TRUE
CA,NA,Linda Sanchez,NA,NA,NA,NA,NA,NA,house,NA,TRUE
CA,NA,Nanette Diaz Barragan,NA,NA,NA,NA,NA,NA,house,NA,TRUE
IN,NA,Andre Carson,NA,NA,NA,NA,NA,NA,house,NA,TRUE
NY,NA,Nydia M. Velazquez,NA,NA,NA,NA,NA,NA,house,NA,TRUE
NY,NA,Jose E. Serrano,NA,NA,NA,NA,NA,NA,house,NA,TRUE
