p_error,p_wrong,sandwich_coverage,bootstrap_coverage
0.056914798601064825,0.14541674789506942,TRUE,TRUE
0.01349400042090565,0.13168913611443714,TRUE,TRUE
0.0636427340330556,0.033349548268597574,TRUE,TRUE
0.09932047370821237,0.026875464885961264,TRUE,TRUE
0.10704904503654689,0.09407747456571088,TRUE,TRUE
0.026858427934348582,0.07543656936613842,TRUE,TRUE
0.14753054932225496,0.08768511994276196,TRUE,TRUE
0.06293488094815984,0.14971500694518908,TRUE,TRUE
0.13847424796549604,0.024164793966338038,TRUE,TRUE
0.10040289731696247,0.05071836960269138,FALSE,FALSE
0.10010544868418947,0.1003039525472559,TRUE,TRUE
0.022996241832152008,0.041961341304704546,TRUE,TRUE
0.06092282583704218,0.13307624200824647,TRUE,TRUE
0.01716520213522017,0.06936770615866407,TRUE,TRUE
0.0225407455349341,0.0069878724985755975,TRUE,TRUE
0.044094251445494594,0.11922121017705649,TRUE,TRUE
0.088535326346755025,0.032741303590592,FALSE,TRUE
0.03678726938087493,0.05753394624916836,TRUE,TRUE
0.019688911910634488,0.08326732709538191,TRUE,TRUE
0.13285393144469707,0.13156395665137097,FALSE,TRUE
0.10561033784179016,0.12530120731098576,FALSE,FALSE
0.05418090596795082,0.1442002479219809,TRUE,TRUE
0.13275837237015367,0.13603973648278042,TRUE,TRUE
0.05102571932366118,0.04859611869323999,TRUE,TRUE
0.12095277705229818,0.12922333278693257,TRUE,TRUE
0.12197371936636045,0.009272208844777197,TRUE,TRUE
0.031522586359642446,0.08713252614252269,TRUE,TRUE
0.018469573894981293,0.008890653471462428,TRUE,TRUE
0.12597708081593736,0.11091648816363886,TRUE,TRUE
0.05611032277811318,0.10675864076474681,TRUE,TRUE
0.02487208032980561,0.11325046182610093,TRUE,TRUE
0.012435715121682733,0.011719835526309907,TRUE,TRUE
0.0942048539291136,0.051083429250866175,TRUE,TRUE
0.009983735717833042,0.07633321385364979,TRUE,TRUE
0.047279147256631404,0.08637674201745539,TRUE,TRUE
0.1439521026564762,0.07683418958913535,FALSE,FALSE
0.12588550614891572,0.1145142977242358,TRUE,TRUE
0.09497728402493522,0.14979857804719357,FALSE,TRUE
0.023238546517677604,0.02341558478074148,TRUE,TRUE
0.03603047167416662,0.14433669919380918,TRUE,TRUE
0.024813967652153223,0.12743605454452336,TRUE,TRUE
0.05496026276377961,0.11806665253825485,TRUE,TRUE
0.02539046824676916,0.11917187205981462,TRUE,TRUE
0.12314985418925062,0.10358072211965919,TRUE,TRUE
0.10086924995994195,0.050569484895095225,FALSE,TRUE
0.07534249650780112,0.05784198789624497,TRUE,TRUE
0.05064310590969399,0.03784670638851821,TRUE,TRUE
0.11823454761179164,0.09575068505946546,TRUE,TRUE
0.04698505770647898,0.12771484366385266,TRUE,TRUE
0.10528970720479265,0.03555349598173052,TRUE,TRUE
0.14528335793875158,0.01482748647686094,TRUE,TRUE
0.05462006541201845,0.017565515299793333,TRUE,TRUE
0.02650750181637704,0.05430567373987287,FALSE,FALSE
0.14391798087162896,0.0438224513316527,TRUE,TRUE
0.02708463007584214,0.07442727122688665,FALSE,FALSE
0.02325008581392467,0.0850544084329158,TRUE,TRUE
0.01648679715581238,0.055788829992525275,TRUE,TRUE
0.07229690129170194,0.00628179560881108,TRUE,TRUE
0.12617014950374142,0.06351263711694628,TRUE,TRUE
0.012899871496483683,0.12869539812672884,FALSE,FALSE
0.14460950611392034,0.12039380521746351,FALSE,TRUE
0.14309262258466332,0.04359519565477967,TRUE,TRUE
0.10755368450190872,0.017749419494066387,TRUE,TRUE
0.1389905382762663,0.13102896652417256,TRUE,TRUE
0.004305940715130419,0.08178994352929293,TRUE,TRUE
0.01903614207403734,0.06362099151592701,TRUE,TRUE
0.12298763404833152,0.010329750459641218,TRUE,TRUE
0.14196704572532326,0.019755611568689345,TRUE,TRUE
0.12924210790079085,0.01873511408921331,TRUE,TRUE
0.10904235105263069,0.06997912055812776,TRUE,TRUE
0.12653850687202065,0.05516498233191669,TRUE,TRUE
0.027520095789805053,0.07353490542154759,TRUE,TRUE
0.0971671044244431,0.041802735405508426,TRUE,TRUE
0.06848933551227673,0.09341352700721473,TRUE,TRUE
0.014161958510521799,0.0412557260482572,TRUE,TRUE
0.008575999445747584,0.1292266015545465,TRUE,TRUE
0.09925597010878846,0.07980329176643863,TRUE,TRUE
0.14534727710997686,0.0632073501474224,FALSE,FALSE
0.046248937037307765,0.0807889626477845,TRUE,TRUE
0.05544519036775455,0.046903403196483846,TRUE,TRUE
0.07465054584899918,0.030680525314528494,TRUE,TRUE
0.11908972996752709,0.10210406917612999,TRUE,TRUE
0.0945094698574394,0.056344669649843124,TRUE,TRUE
0.08309639061335473,0.03729491120902821,TRUE,TRUE
0.056587340938858685,0.024865444027818737,TRUE,TRUE
0.04269515796331689,0.07997550516156479,TRUE,TRUE
0.147018683119677,0.12069982490502297,FALSE,FALSE
4.1158500825986264e-4,0.039558254519943145,TRUE,TRUE
0.08776824055239558,0.0630258938879706,FALSE,FALSE
0.033946678962092844,0.07149956692010163,TRUE,TRUE
0.0043868183973245324,0.03856031878385693,TRUE,TRUE
0.0415615510661155,0.09040643766056745,TRUE,FALSE
0.0975417936220765,0.0091578827239573,TRUE,TRUE
0.14638789122691379,0.13313857773318885,TRUE,TRUE
0.10523400184465571,0.07647033260436728,FALSE,FALSE
0.11316737215965986,0.14235102098900823,TRUE,TRUE
0.10157386756036431,0.03717907009413466,TRUE,TRUE
0.043295106198638675,0.03871002900414169,TRUE,TRUE
0.038475219346582885,0.12273719856748357,TRUE,TRUE
0.0654337651678361,0.1194646215881221,TRUE,TRUE
0.09798802540171891,0.09821775401942431,FALSE,FALSE
0.0026803870685398576,0.036396584822796285,TRUE,TRUE
