score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
115,88,Pistons,Suns,51,49
115,111,Rockets,Trail Blazers,58,42
94,108,Hornets,76ers,22,78
100,110,Lakers,Pacers,33,67
117,124,Bucks,Cavaliers,33,67
92,110,Bulls,Knicks,34,66
141,149,Nuggets,Heat,42,58
115,118,Grizzlies,Nets,29,71
75,89,Warriors,Spurs,51,49
106,90,Pistons,Kings,46,54
132,125,Thunder,Raptors,21,79
89,108,Celtics,Pelicans,50,50
129,120,Rockets,Timberwolves,66,34
122,109,Trail Blazers,Clippers,38,62
117,122,Hawks,Bucks,16,84
107,101,Rockets,Pelicans,70,30
102,109,Pacers,Wizards,36,64
101,124,Hornets,Knicks,54,46
106,114,Mavericks,Nets,46,54
114,109,Cavaliers,Bulls,57,43
94,101,Nuggets,Grizzlies,70,30
101,117,Timberwolves,Spurs,40,60
97,103,Kings,Jazz,6,94
87,100,Pistons,Trail Blazers,15,85
124,109,Warriors,Suns,80,20
116,120,Nets,76ers,17,83
92,83,Celtics,Magic,66,34
115,122,Mavericks,Raptors,12,88
113,121,Clippers,Thunder,29,71
92,91,Heat,Lakers,34,66
98,93,Kings,Warriors,7,93
106,99,Raptors,Pacers,61,39
129,117,Hornets,Hawks,57,43
118,110,76ers,Knicks,68,32
111,110,Bulls,Grizzlies,46,54
96,101,Clippers,Rockets,15,85
93,98,Pelicans,Spurs,36,64
113,120,Pistons,Nuggets,19,81
88,116,Suns,Jazz,6,94
105,113,Cavaliers,Trail Blazers,25,75
117,126,Bucks,Magic,66,34
125,124,Wizards,Celtics,25,75
119,123,Heat,Kings,63,37
106,117,Lakers,Warriors,15,85
101,98,Pacers,76ers,29,71
116,111,Timberwolves,Wizards,42,58
110,97,Mavericks,Knicks,40,60
119,107,Thunder,Hawks,65,35
116,102,Raptors,Nets,82,18
115,119,Hornets,Pelicans,28,72
112,106,Clippers,Bulls,65,35
72,108,Magic,Spurs,21,79
79,110,Pistons,Jazz,13,87
129,107,Cavaliers,Suns,68,32
103,112,Nuggets,Lakers,40,60
121,103,Bucks,Grizzlies,64,36
93,109,Spurs,Rockets,16,84
101,106,Kings,Thunder,8,92
99,115,Heat,Trail Blazers,22,78
132,106,Raptors,Knicks,79,21
129,122,Bulls,Hawks,38,62
103,109,Warriors,Timberwolves,52,48
116,99,Jazz,Pelicans,44,56
104,130,Kings,Nuggets,11,89
105,82,Rockets,Mavericks,85,15
99,97,Pacers,Celtics,28,72
120,97,76ers,Nets,66,34
113,127,Cavaliers,Lakers,41,59
115,122,Suns,Hornets,16,84
102,129,Wizards,Heat,39,61
80,114,Grizzlies,Mavericks,20,80
94,104,Spurs,Thunder,30,70
105,113,Magic,Clippers,14,86
87,112,Hawks,Pacers,17,83
83,99,Bulls,Pistons,29,71
105,108,Rockets,Raptors,48,52
112,120,Knicks,Bucks,22,78
95,78,Jazz,Grizzlies,75,25
116,97,Wizards,Pelicans,31,69
116,125,Lakers,Nuggets,27,73
108,125,Warriors,Trail Blazers,45,55
88,94,Magic,Kings,44,56
102,116,Cavaliers,Clippers,31,69
125,111,Nets,Hornets,17,83
99,108,76ers,Heat,53,47
117,109,Celtics,Timberwolves,37,63
87,115,Suns,Thunder,9,91
107,110,Spurs,Warriors,18,82
104,84,Jazz,Pacers,42,58
110,99,Rockets,Bucks,67,33
110,119,Grizzlies,Bulls,31,69
121,119,Raptors,Pistons,68,32
114,101,Pelicans,Kings,66,34
107,108,Magic,Lakers,21,79
113,108,Cavaliers,Nuggets,34,66
90,106,Hawks,Raptors,7,93
113,117,Heat,Wizards,25,75
128,114,76ers,Hornets,45,55
122,112,Rockets,Thunder,62,38
107,118,Nuggets,Mavericks,59,41
87,111,Knicks,Trail Blazers,19,81
101,114,Nets,Warriors,7,93
121,116,Pelicans,Clippers,34,66
90,112,Pistons,Cavaliers,25,75
89,92,Bucks,Pacers,33,67
103,125,Suns,Heat,13,87
105,89,Celtics,Bulls,65,35
98,100,Grizzlies,Spurs,13,87
80,94,Magic,Jazz,12,88
108,103,Trail Blazers,Lakers,48,52
112,113,Suns,Hawks,29,71
98,103,Hornets,Raptors,17,83
98,95,Pacers,Wizards,35,65
126,109,Pelicans,Mavericks,59,41
110,118,76ers,Bucks,48,52
120,123,Nets,Clippers,13,87
99,102,Knicks,Kings,54,46
100,107,Grizzlies,Magic,31,69
126,117,Nuggets,Cavaliers,32,68
96,105,Pistons,Heat,26,74
120,123,Celtics,Rockets,16,84
116,112,Lakers,Spurs,28,72
100,108,Thunder,Trail Blazers,31,69
98,91,Jazz,Kings,66,34
99,110,Hornets,76ers,36,64
106,115,Pistons,Magic,47,53
114,109,Warriors,Hawks,81,19
100,108,Mavericks,Bulls,43,57
108,102,Nuggets,Grizzlies,65,35
103,96,Pacers,Bucks,36,64
102,95,Raptors,Wizards,56,44
124,116,Thunder,Suns,74,26
108,116,Timberwolves,Jazz,27,73
105,128,Knicks,Clippers,17,83
131,113,Lakers,Heat,34,66
108,97,76ers,Cavaliers,38,62
111,116,Nets,Kings,40,60
99,108,Timberwolves,Trail Blazers,39,61
87,110,Bucks,Pistons,44,56
117,104,Raptors,Magic,78,22
106,134,Hornets,Celtics,27,73
102,107,Pacers,Hawks,62,38
109,101,Warriors,Wizards,64,36
110,102,Suns,Grizzlies,30,70
121,116,Pelicans,Spurs,34,66
111,110,Thunder,Mavericks,60,40
105,92,Rockets,Clippers,68,32
123,129,Nets,Cavaliers,12,88
103,118,Bulls,Hornets,14,86
101,102,76ers,Heat,46,54
107,104,Wizards,Bucks,37,63
99,116,Kings,Trail Blazers,10,90
122,120,Clippers,Nuggets,34,66
87,104,Bulls,Nets,41,59
94,123,Pistons,Raptors,9,91
125,111,Warriors,Knicks,73,27
123,104,Lakers,Hawks,50,50
98,109,Grizzlies,Celtics,14,86
105,112,Magic,Thunder,14,86
116,125,Suns,Pelicans,15,85
103,109,Pacers,Mavericks,55,45
96,85,Rockets,Jazz,47,53
118,100,Timberwolves,Kings,71,29
98,114,Pistons,Hornets,25,75
123,121,Pelicans,Bucks,36,64
110,94,Spurs,Cavaliers,34,66
119,114,Rockets,Nuggets,56,44
94,109,76ers,Wizards,36,64
105,116,Magic,76ers,15,85
121,112,Celtics,Knicks,50,50
89,115,Grizzlies,Heat,22,78
80,112,Thunder,Warriors,26,74
104,122,Bulls,Timberwolves,19,81
90,97,Mavericks,Jazz,14,86
106,104,Trail Blazers,Suns,73,27
113,108,Lakers,Kings,47,53
93,116,Hawks,Pacers,18,82
110,98,Celtics,Pistons,49,51
122,105,Hornets,Wizards,30,70
122,119,Bucks,Raptors,19,81
112,89,Cavaliers,Grizzlies,54,46
123,124,Heat,Pelicans,30,70
102,120,Timberwolves,Rockets,19,81
128,117,Clippers,Suns,66,34
100,81,Trail Blazers,Jazz,24,76
119,122,Spurs,Nuggets,32,68
102,124,Mavericks,Lakers,33,67
96,111,Nets,Hornets,19,81
120,113,Knicks,Magic,40,60
116,115,76ers,Bulls,63,37
110,103,Wizards,Cavaliers,35,65
110,107,Thunder,Kings,71,29
127,134,Clippers,Warriors,23,77
134,123,Nuggets,Bucks,34,66
111,119,Lakers,Timberwolves,16,84
98,104,Hawks,Pistons,21,79
104,102,Hornets,Magic,52,48
102,104,Heat,76ers,22,78
108,103,Pacers,Nets,61,39
118,113,Wizards,Knicks,54,46
129,119,Clippers,Celtics,37,63
117,139,Lakers,Pelicans,28,72
121,114,Thunder,Grizzlies,58,42
91,100,Kings,Rockets,6,94
122,98,Raptors,Bulls,70,30
97,107,Suns,Jazz,7,93
117,123,Warriors,Trail Blazers,58,42
112,115,Heat,Raptors,16,84
92,97,Hawks,Bucks,17,83
120,112,Cavaliers,Thunder,28,72
