href,id,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
https://api.spotify.com/v1/artists/7yxi31szvlbwvKq9dYOmFI,7yxi31szvlbwvKq9dYOmFI,Jon Hopkins,63,artist,spotify:artist:7yxi31szvlbwvKq9dYOmFI,https://open.spotify.com/artist/7yxi31szvlbwvKq9dYOmFI,NA,325969
https://api.spotify.com/v1/artists/2AR42Ur9PcchQDtEdwkv4L,2AR42Ur9PcchQDtEdwkv4L,Floating Points,55,artist,spotify:artist:2AR42Ur9PcchQDtEdwkv4L,https://open.spotify.com/artist/2AR42Ur9PcchQDtEdwkv4L,NA,172296
https://api.spotify.com/v1/artists/1kR99O4MgSTasyeJh8UFCg,1kR99O4MgSTasyeJh8UFCg,DJ Koze,59,artist,spotify:artist:1kR99O4MgSTasyeJh8UFCg,https://open.spotify.com/artist/1kR99O4MgSTasyeJh8UFCg,NA,160073
https://api.spotify.com/v1/artists/40Ojab0UtVQFjA76qXr8Ot,40Ojab0UtVQFjA76qXr8Ot,Apparat,57,artist,spotify:artist:40Ojab0UtVQFjA76qXr8Ot,https://open.spotify.com/artist/40Ojab0UtVQFjA76qXr8Ot,NA,256946
https://api.spotify.com/v1/artists/7Go2Fj2YWEQkYBqTVQArYi,7Go2Fj2YWEQkYBqTVQArYi,Pantha Du Prince,44,artist,spotify:artist:7Go2Fj2YWEQkYBqTVQArYi,https://open.spotify.com/artist/7Go2Fj2YWEQkYBqTVQArYi,NA,83604
https://api.spotify.com/v1/artists/0IVapwlnM3dEOiMsHXsghT,0IVapwlnM3dEOiMsHXsghT,Nosaj Thing,53,artist,spotify:artist:0IVapwlnM3dEOiMsHXsghT,https://open.spotify.com/artist/0IVapwlnM3dEOiMsHXsghT,NA,166238
https://api.spotify.com/v1/artists/05lIUgmmsmTX2N9dCKc8rC,05lIUgmmsmTX2N9dCKc8rC,Rival Consoles,55,artist,spotify:artist:05lIUgmmsmTX2N9dCKc8rC,https://open.spotify.com/artist/05lIUgmmsmTX2N9dCKc8rC,NA,80721
https://api.spotify.com/v1/artists/6xS3zemJD9h94iueQvGqVk,6xS3zemJD9h94iueQvGqVk,Gold Panda,46,artist,spotify:artist:6xS3zemJD9h94iueQvGqVk,https://open.spotify.com/artist/6xS3zemJD9h94iueQvGqVk,NA,167435
https://api.spotify.com/v1/artists/2wPDbhaGXCqROrVmwDdCrK,2wPDbhaGXCqROrVmwDdCrK,Oneohtrix Point Never,59,artist,spotify:artist:2wPDbhaGXCqROrVmwDdCrK,https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK,NA,115942
https://api.spotify.com/v1/artists/46Ce0QmI1mE2bl5VQ4P9N8,46Ce0QmI1mE2bl5VQ4P9N8,Lapalux,48,artist,spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8,https://open.spotify.com/artist/46Ce0QmI1mE2bl5VQ4P9N8,NA,86035
https://api.spotify.com/v1/artists/31uyAcnY0kjjKKIQZMKX4i,31uyAcnY0kjjKKIQZMKX4i,Grouper,52,artist,spotify:artist:31uyAcnY0kjjKKIQZMKX4i,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,NA,97277
https://api.spotify.com/v1/artists/592TFYwu9Qb0RC1hKDbX2w,592TFYwu9Qb0RC1hKDbX2w,Helios,54,artist,spotify:artist:592TFYwu9Qb0RC1hKDbX2w,https://open.spotify.com/artist/592TFYwu9Qb0RC1hKDbX2w,NA,85970
https://api.spotify.com/v1/artists/48C2RLG6w7o4jAJjCJKZM8,48C2RLG6w7o4jAJjCJKZM8,Shigeto,45,artist,spotify:artist:48C2RLG6w7o4jAJjCJKZM8,https://open.spotify.com/artist/48C2RLG6w7o4jAJjCJKZM8,NA,87836
https://api.spotify.com/v1/artists/29XOeO6KIWxGthejQqn793,29XOeO6KIWxGthejQqn793,Flying Lotus,61,artist,spotify:artist:29XOeO6KIWxGthejQqn793,https://open.spotify.com/artist/29XOeO6KIWxGthejQqn793,NA,527440
https://api.spotify.com/v1/artists/6olWbKW2VLhFCHfOi0iEDb,6olWbKW2VLhFCHfOi0iEDb,Hudson Mohawke,50,artist,spotify:artist:6olWbKW2VLhFCHfOi0iEDb,https://open.spotify.com/artist/6olWbKW2VLhFCHfOi0iEDb,NA,97317
https://api.spotify.com/v1/artists/5Mu0EMEsUIVE132pNMywns,5Mu0EMEsUIVE132pNMywns,Skinny Puppy,43,artist,spotify:artist:5Mu0EMEsUIVE132pNMywns,https://open.spotify.com/artist/5Mu0EMEsUIVE132pNMywns,NA,109019
https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,66,artist,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo,NA,1250181
https://api.spotify.com/v1/artists/67tgMwUfnmqzYsNAtnP6YJ,67tgMwUfnmqzYsNAtnP6YJ,Groove Armada,61,artist,spotify:artist:67tgMwUfnmqzYsNAtnP6YJ,https://open.spotify.com/artist/67tgMwUfnmqzYsNAtnP6YJ,NA,419932
https://api.spotify.com/v1/artists/5T4UKHhr4HGIC0VzdZQtAE,5T4UKHhr4HGIC0VzdZQtAE,Faithless,61,artist,spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,https://open.spotify.com/artist/5T4UKHhr4HGIC0VzdZQtAE,NA,384667
https://api.spotify.com/v1/artists/5aj3LEYRbuaabjjHkj5oE1,5aj3LEYRbuaabjjHkj5oE1,Death In Vegas,49,artist,spotify:artist:5aj3LEYRbuaabjjHkj5oE1,https://open.spotify.com/artist/5aj3LEYRbuaabjjHkj5oE1,NA,86633
https://api.spotify.com/v1/artists/5eKLa1xyHLq8ERWmT1CRHj,5eKLa1xyHLq8ERWmT1CRHj,The Crystal Method,52,artist,spotify:artist:5eKLa1xyHLq8ERWmT1CRHj,https://open.spotify.com/artist/5eKLa1xyHLq8ERWmT1CRHj,NA,178761
https://api.spotify.com/v1/artists/5sL9uDMwceYHPknnCLAAwJ,5sL9uDMwceYHPknnCLAAwJ,GusGus,48,artist,spotify:artist:5sL9uDMwceYHPknnCLAAwJ,https://open.spotify.com/artist/5sL9uDMwceYHPknnCLAAwJ,NA,109990
https://api.spotify.com/v1/artists/2nszamLjZFgu3Yx77mKxuC,2nszamLjZFgu3Yx77mKxuC,UNKLE,55,artist,spotify:artist:2nszamLjZFgu3Yx77mKxuC,https://open.spotify.com/artist/2nszamLjZFgu3Yx77mKxuC,NA,224367
https://api.spotify.com/v1/artists/3wury2nd8idV4GecUg5xze,3wury2nd8idV4GecUg5xze,Primal Scream,61,artist,spotify:artist:3wury2nd8idV4GecUg5xze,https://open.spotify.com/artist/3wury2nd8idV4GecUg5xze,NA,300364
https://api.spotify.com/v1/artists/4k1ELeJKT1ISyDv8JivPpB,4k1ELeJKT1ISyDv8JivPpB,The Prodigy,68,artist,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,https://open.spotify.com/artist/4k1ELeJKT1ISyDv8JivPpB,NA,1321166
https://api.spotify.com/v1/artists/4Y7tXHSEejGu1vQ9bwDdXW,4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,67,artist,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,https://open.spotify.com/artist/4Y7tXHSEejGu1vQ9bwDdXW,NA,740360
