Date,Name,Year,Letterboxd URI,Rating
2020-05-29,Annihilation,2018,https://boxd.it/9yzm,2.5
2020-05-30,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2020-05-30,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2020-06-01,Oldboy,2003,https://boxd.it/29R2,4.5
2020-06-01,The Raid 2,2014,https://boxd.it/5uz0,5
2020-06-22,Black Panther,2018,https://boxd.it/8MHs,4
2020-06-22,Creed,2015,https://boxd.it/a2qk,4.5
2020-06-22,Creed II,2018,https://boxd.it/hgl8,3.5
2020-06-28,Inception,2010,https://boxd.it/1skk,3
2020-06-30,The Report,2019,https://boxd.it/j2X2,3
2020-07-01,Parasite,2019,https://boxd.it/hTha,5
2020-07-02,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2020-07-04,Hamilton,2020,https://boxd.it/kmvE,3.5
2020-07-05,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2020-07-08,Up,2009,https://boxd.it/1OEc,3.5
2020-07-08,There Will Be Blood,2007,https://boxd.it/20Z2,5
2020-07-12,Bicycle Thieves,1948,https://boxd.it/23hW,3.5
2020-07-13,The Raid,2011,https://boxd.it/3hBy,4.5
2020-07-14,Dog Day Afternoon,1975,https://boxd.it/29bg,4.5
2020-07-15,Ford v Ferrari,2019,https://boxd.it/ce74,1
2020-07-16,Best in Show,2000,https://boxd.it/1Pqq,3
2020-07-17,Throne of Blood,1957,https://boxd.it/251w,2.5
2020-07-18,Memories of Murder,2003,https://boxd.it/1TSo,4
2020-07-19,Waiting for Guffman,1996,https://boxd.it/1K4E,3.5
2020-07-20,High and Low,1963,https://boxd.it/1RSc,4
2020-07-20,A Mighty Wind,2003,https://boxd.it/1Qke,2
2020-07-26,White God,2014,https://boxd.it/81lO,3
2020-07-27,Brick,2005,https://boxd.it/1Z6A,2
2020-07-28,The 400 Blows,1959,https://boxd.it/2b1C,3.5
2020-07-28,Call Me by Your Name,2017,https://boxd.it/dYmm,5
2020-07-30,The Master,2012,https://boxd.it/2cBG,3.5
2020-07-30,Pulp Fiction,1994,https://boxd.it/29Pq,4
2020-08-02,The Bad Sleep Well,1960,https://boxd.it/1iLA,3.5
2020-08-03,Ocean's Eleven,2001,https://boxd.it/2aZm,3.5
2020-08-09,Bamboozled,2000,https://boxd.it/1xfa,1.5
2020-08-10,He Got Game,1998,https://boxd.it/1YBs,2.5
2020-08-15,La La Land,2016,https://boxd.it/a5fa,5
2020-08-15,Boys State,2020,https://boxd.it/oiNW,3
2020-08-20,American Factory,2019,https://boxd.it/kJuY,3.5
2020-08-24,The Nice Guys,2016,https://boxd.it/94Hg,1.5
2020-08-29,The War Room,1993,https://boxd.it/1tWa,4
2020-08-30,Spotlight,2015,https://boxd.it/a84k,4.5
2020-09-05,Heat,1995,https://boxd.it/2bg8,4
2020-09-06,Serpico,1973,https://boxd.it/1ZjE,2
2020-09-06,Sicario,2015,https://boxd.it/8i7u,4.5
2020-09-08,Casino Royale,2006,https://boxd.it/1alk,2
2020-09-08,Quantum of Solace,2008,https://boxd.it/1Vs8,2
2020-09-08,Skyfall,2012,https://boxd.it/17Fc,3
2020-09-09,Spectre,2015,https://boxd.it/6bXY,1.5
2020-09-11,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2020-09-13,True Grit,2010,https://boxd.it/Sog,3.5
2020-09-13,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,1
2020-09-14,Da 5 Bloods,2020,https://boxd.it/lnXw,3
2020-09-14,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2020-09-15,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,3
2020-09-17,Inside Out,2015,https://boxd.it/4KHC,4
2020-09-18,Ratatouille,2007,https://boxd.it/27ww,2.5
2020-09-21,The Shawshank Redemption,1994,https://boxd.it/2aHi,3.5
2020-09-21,Prisoners,2013,https://boxd.it/4E5i,3
2020-09-22,The Social Dilemma,2020,https://boxd.it/opQI,1
2020-09-22,Unbroken,2014,https://boxd.it/6IaA,1.5
2020-09-23,Good Will Hunting,1997,https://boxd.it/2ahY,4
2020-09-24,No Country for Old Men,2007,https://boxd.it/21ew,4
2020-10-18,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,1
2020-10-18,North by Northwest,1959,https://boxd.it/2aRM,2.5
2020-10-25,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,3
2020-10-26,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,3
2020-10-28,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2020-10-30,Moonlight,2016,https://boxd.it/d6bE,5
2020-10-31,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,2.5
2020-10-31,The Darjeeling Limited,2007,https://boxd.it/24as,3
2020-11-01,The Host,2006,https://boxd.it/28ZY,3
2020-11-01,Young Frankenstein,1974,https://boxd.it/25To,1.5
2020-11-02,Mother,2009,https://boxd.it/1m9g,4.5
2020-11-03,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,3.5
2020-11-04,The Conversation,1974,https://boxd.it/2a38,3
2020-11-04,The Man Who Wasn't There,2001,https://boxd.it/1Vqc,2.5
2020-11-14,Four Weddings and a Funeral,1994,https://boxd.it/29KA,1.5
2020-11-14,Notting Hill,1999,https://boxd.it/2aeK,0.5
2020-11-15,Point Break,1991,https://boxd.it/2958,1.5
2020-11-16,Prospect,2018,https://boxd.it/iijg,3
2020-11-16,Django Unchained,2012,https://boxd.it/2cCk,3
2020-11-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2020-11-19,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3.5
2020-11-19,Women of Troy,2020,https://boxd.it/pg7c,2
2020-11-19,A Futile and Stupid Gesture,2018,https://boxd.it/dGNk,2
