n,ctl,t0,lift,power
1e4,0.25,0.5,0.03,0.738
15e3,0.25,0.5,0.03,0.887
2e4,0.25,0.5,0.03,0.968
1e3,0.30000000000000004,0.5,0.03,0.127
2500,0.30000000000000004,0.5,0.03,0.255
5e3,0.30000000000000004,0.5,0.03,0.479
1e4,0.30000000000000004,0.5,0.03,0.774
15e3,0.30000000000000004,0.5,0.03,0.923
2e4,0.30000000000000004,0.5,0.03,0.978
1e3,0.35,0.5,0.03,0.149
2500,0.35,0.5,0.03,0.303
5e3,0.35,0.5,0.03,0.527
1e4,0.35,0.5,0.03,0.813
15e3,0.35,0.5,0.03,0.949
2e4,0.35,0.5,0.03,0.975
1e3,0.4,0.5,0.03,0.154
2500,0.4,0.5,0.03,0.301
5e3,0.4,0.5,0.03,0.572
1e4,0.4,0.5,0.03,0.858
15e3,0.4,0.5,0.03,0.948
2e4,0.4,0.5,0.03,0.986
1e3,0.45000000000000007,0.5,0.03,0.144
2500,0.45000000000000007,0.5,0.03,0.342
5e3,0.45000000000000007,0.5,0.03,0.579
1e4,0.45000000000000007,0.5,0.03,0.851
15e3,0.45000000000000007,0.5,0.03,0.956
2e4,0.45000000000000007,0.5,0.03,0.987
1e3,0.5,0.5,0.03,0.134
2500,0.5,0.5,0.03,0.313
5e3,0.5,0.5,0.03,0.575
1e4,0.5,0.5,0.03,0.856
15e3,0.5,0.5,0.03,0.952
2e4,0.5,0.5,0.03,0.986
1e3,0.1,0.5,0.04,0.109
2500,0.1,0.5,0.04,0.235
5e3,0.1,0.5,0.04,0.376
1e4,0.1,0.5,0.04,0.659
15e3,0.1,0.5,0.04,0.824
2e4,0.1,0.5,0.04,0.921
1e3,0.15000000000000002,0.5,0.04,0.137
2500,0.15000000000000002,0.5,0.04,0.295
5e3,0.15000000000000002,0.5,0.04,0.539
1e4,0.15000000000000002,0.5,0.04,0.822
15e3,0.15000000000000002,0.5,0.04,0.941
2e4,0.15000000000000002,0.5,0.04,0.987
1e3,0.2,0.5,0.04,0.188
2500,0.2,0.5,0.04,0.382
5e3,0.2,0.5,0.04,0.648
1e4,0.2,0.5,0.04,0.88
15e3,0.2,0.5,0.04,0.971
2e4,0.2,0.5,0.04,0.991
1e3,0.25,0.5,0.04,0.197
2500,0.25,0.5,0.04,0.417
5e3,0.25,0.5,0.04,0.726
1e4,0.25,0.5,0.04,0.933
15e3,0.25,0.5,0.04,0.991
2e4,0.25,0.5,0.04,1
1e3,0.30000000000000004,0.5,0.04,0.197
2500,0.30000000000000004,0.5,0.04,0.478
5e3,0.30000000000000004,0.5,0.04,0.741
1e4,0.30000000000000004,0.5,0.04,0.959
15e3,0.30000000000000004,0.5,0.04,0.995
2e4,0.30000000000000004,0.5,0.04,1
1e3,0.35,0.5,0.04,0.223
2500,0.35,0.5,0.04,0.491
5e3,0.35,0.5,0.04,0.776
1e4,0.35,0.5,0.04,0.968
15e3,0.35,0.5,0.04,0.996
2e4,0.35,0.5,0.04,1
1e3,0.4,0.5,0.04,0.246
2500,0.4,0.5,0.04,0.529
5e3,0.4,0.5,0.04,0.791
1e4,0.4,0.5,0.04,0.968
15e3,0.4,0.5,0.04,0.997
2e4,0.4,0.5,0.04,1
1e3,0.45000000000000007,0.5,0.04,0.252
2500,0.45000000000000007,0.5,0.04,0.515
5e3,0.45000000000000007,0.5,0.04,0.81
1e4,0.45000000000000007,0.5,0.04,0.972
15e3,0.45000000000000007,0.5,0.04,0.996
2e4,0.45000000000000007,0.5,0.04,1
1e3,0.5,0.5,0.04,0.23
2500,0.5,0.5,0.04,0.518
5e3,0.5,0.5,0.04,0.808
1e4,0.5,0.5,0.04,0.985
15e3,0.5,0.5,0.04,1
2e4,0.5,0.5,0.04,1
1e3,0.1,0.5,0.05,0.156
2500,0.1,0.5,0.05,0.358
5e3,0.1,0.5,0.05,0.549
1e4,0.1,0.5,0.05,0.849
15e3,0.1,0.5,0.05,0.965
2e4,0.1,0.5,0.05,0.993
1e3,0.15000000000000002,0.5,0.05,0.21
2500,0.15000000000000002,0.5,0.05,0.449
5e3,0.15000000000000002,0.5,0.05,0.717
1e4,0.15000000000000002,0.5,0.05,0.948
15e3,0.15000000000000002,0.5,0.05,0.985
2e4,0.15000000000000002,0.5,0.05,0.999
1e3,0.2,0.5,0.05,0.232
2500,0.2,0.5,0.05,0.512
5e3,0.2,0.5,0.05,0.811
1e4,0.2,0.5,0.05,0.985
15e3,0.2,0.5,0.05,0.999
2e4,0.2,0.5,0.05,1
1e3,0.25,0.5,0.05,0.284
2500,0.25,0.5,0.05,0.581
5e3,0.25,0.5,0.05,0.857
1e4,0.25,0.5,0.05,0.994
15e3,0.25,0.5,0.05,1
2e4,0.25,0.5,0.05,1
1e3,0.30000000000000004,0.5,0.05,0.309
2500,0.30000000000000004,0.5,0.05,0.626
5e3,0.30000000000000004,0.5,0.05,0.891
1e4,0.30000000000000004,0.5,0.05,0.998
15e3,0.30000000000000004,0.5,0.05,1
2e4,0.30000000000000004,0.5,0.05,1
1e3,0.35,0.5,0.05,0.353
2500,0.35,0.5,0.05,0.64
5e3,0.35,0.5,0.05,0.91
1e4,0.35,0.5,0.05,0.998
15e3,0.35,0.5,0.05,1
2e4,0.35,0.5,0.05,1
1e3,0.4,0.5,0.05,0.359
2500,0.4,0.5,0.05,0.686
5e3,0.4,0.5,0.05,0.928
1e4,0.4,0.5,0.05,0.999
15e3,0.4,0.5,0.05,1
2e4,0.4,0.5,0.05,1
1e3,0.45000000000000007,0.5,0.05,0.342
2500,0.45000000000000007,0.5,0.05,0.708
5e3,0.45000000000000007,0.5,0.05,0.941
1e4,0.45000000000000007,0.5,0.05,0.999
15e3,0.45000000000000007,0.5,0.05,1
2e4,0.45000000000000007,0.5,0.05,1
1e3,0.5,0.5,0.05,0.353
2500,0.5,0.5,0.05,0.702
5e3,0.5,0.5,0.05,0.937
1e4,0.5,0.5,0.05,1
15e3,0.5,0.5,0.05,1
2e4,0.5,0.5,0.05,1
1e3,0.1,0.5,0.060000000000000005,0.193
2500,0.1,0.5,0.060000000000000005,0.445
5e3,0.1,0.5,0.060000000000000005,0.728
1e4,0.1,0.5,0.060000000000000005,0.949
15e3,0.1,0.5,0.060000000000000005,0.995
2e4,0.1,0.5,0.060000000000000005,1
1e3,0.15000000000000002,0.5,0.060000000000000005,0.283
2500,0.15000000000000002,0.5,0.060000000000000005,0.578
5e3,0.15000000000000002,0.5,0.060000000000000005,0.863
1e4,0.15000000000000002,0.5,0.060000000000000005,0.984
15e3,0.15000000000000002,0.5,0.060000000000000005,0.999
2e4,0.15000000000000002,0.5,0.060000000000000005,1
1e3,0.2,0.5,0.060000000000000005,0.324
2500,0.2,0.5,0.060000000000000005,0.666
5e3,0.2,0.5,0.060000000000000005,0.911
1e4,0.2,0.5,0.060000000000000005,0.999
15e3,0.2,0.5,0.060000000000000005,1
2e4,0.2,0.5,0.060000000000000005,1
1e3,0.25,0.5,0.060000000000000005,0.387
2500,0.25,0.5,0.060000000000000005,0.75
5e3,0.25,0.5,0.060000000000000005,0.963
1e4,0.25,0.5,0.060000000000000005,0.999
15e3,0.25,0.5,0.060000000000000005,1
2e4,0.25,0.5,0.060000000000000005,1
1e3,0.30000000000000004,0.5,0.060000000000000005,0.402
2500,0.30000000000000004,0.5,0.060000000000000005,0.82
5e3,0.30000000000000004,0.5,0.060000000000000005,0.971
1e4,0.30000000000000004,0.5,0.060000000000000005,1
15e3,0.30000000000000004,0.5,0.060000000000000005,1
2e4,0.30000000000000004,0.5,0.060000000000000005,1
1e3,0.35,0.5,0.060000000000000005,0.429
2500,0.35,0.5,0.060000000000000005,0.818
5e3,0.35,0.5,0.060000000000000005,0.984
1e4,0.35,0.5,0.060000000000000005,1
15e3,0.35,0.5,0.060000000000000005,1
2e4,0.35,0.5,0.060000000000000005,1
1e3,0.4,0.5,0.060000000000000005,0.469
2500,0.4,0.5,0.060000000000000005,0.83
5e3,0.4,0.5,0.060000000000000005,0.992
1e4,0.4,0.5,0.060000000000000005,0.999
15e3,0.4,0.5,0.060000000000000005,1
2e4,0.4,0.5,0.060000000000000005,1
1e3,0.45000000000000007,0.5,0.060000000000000005,0.46
2500,0.45000000000000007,0.5,0.060000000000000005,0.847
5e3,0.45000000000000007,0.5,0.060000000000000005,0.988
1e4,0.45000000000000007,0.5,0.060000000000000005,1
15e3,0.45000000000000007,0.5,0.060000000000000005,1
2e4,0.45000000000000007,0.5,0.060000000000000005,1
1e3,0.5,0.5,0.060000000000000005,0.486
2500,0.5,0.5,0.060000000000000005,0.88
5e3,0.5,0.5,0.060000000000000005,0.992
1e4,0.5,0.5,0.060000000000000005,1
15e3,0.5,0.5,0.060000000000000005,1
2e4,0.5,0.5,0.060000000000000005,1
1e3,0.1,0.5,0.06999999999999999,0.27
2500,0.1,0.5,0.06999999999999999,0.591
5e3,0.1,0.5,0.06999999999999999,0.837
1e4,0.1,0.5,0.06999999999999999,0.986
15e3,0.1,0.5,0.06999999999999999,1
2e4,0.1,0.5,0.06999999999999999,1
1e3,0.15000000000000002,0.5,0.06999999999999999,0.361
2500,0.15000000000000002,0.5,0.06999999999999999,0.725
5e3,0.15000000000000002,0.5,0.06999999999999999,0.956
1e4,0.15000000000000002,0.5,0.06999999999999999,0.998
15e3,0.15000000000000002,0.5,0.06999999999999999,1
2e4,0.15000000000000002,0.5,0.06999999999999999,1
1e3,0.2,0.5,0.06999999999999999,0.45
2500,0.2,0.5,0.06999999999999999,0.807
5e3,0.2,0.5,0.06999999999999999,0.984
1e4,0.2,0.5,0.06999999999999999,1
15e3,0.2,0.5,0.06999999999999999,1
2e4,0.2,0.5,0.06999999999999999,1
1e3,0.25,0.5,0.06999999999999999,0.465
2500,0.25,0.5,0.06999999999999999,0.861
5e3,0.25,0.5,0.06999999999999999,0.988
1e4,0.25,0.5,0.06999999999999999,1
15e3,0.25,0.5,0.06999999999999999,1
2e4,0.25,0.5,0.06999999999999999,1
1e3,0.30000000000000004,0.5,0.06999999999999999,0.527
2500,0.30000000000000004,0.5,0.06999999999999999,0.88
5e3,0.30000000000000004,0.5,0.06999999999999999,0.994
1e4,0.30000000000000004,0.5,0.06999999999999999,1
15e3,0.30000000000000004,0.5,0.06999999999999999,1
2e4,0.30000000000000004,0.5,0.06999999999999999,1
1e3,0.35,0.5,0.06999999999999999,0.587
2500,0.35,0.5,0.06999999999999999,0.934
5e3,0.35,0.5,0.06999999999999999,0.996
1e4,0.35,0.5,0.06999999999999999,1
15e3,0.35,0.5,0.06999999999999999,1
2e4,0.35,0.5,0.06999999999999999,1
1e3,0.4,0.5,0.06999999999999999,0.59
2500,0.4,0.5,0.06999999999999999,0.945
5e3,0.4,0.5,0.06999999999999999,0.998
1e4,0.4,0.5,0.06999999999999999,1
15e3,0.4,0.5,0.06999999999999999,1
2e4,0.4,0.5,0.06999999999999999,1
1e3,0.45000000000000007,0.5,0.06999999999999999,0.585
2500,0.45000000000000007,0.5,0.06999999999999999,0.926
5e3,0.45000000000000007,0.5,0.06999999999999999,0.997
1e4,0.45000000000000007,0.5,0.06999999999999999,1
15e3,0.45000000000000007,0.5,0.06999999999999999,1
2e4,0.45000000000000007,0.5,0.06999999999999999,1
1e3,0.5,0.5,0.06999999999999999,0.623
2500,0.5,0.5,0.06999999999999999,0.948
5e3,0.5,0.5,0.06999999999999999,0.999
1e4,0.5,0.5,0.06999999999999999,1
15e3,0.5,0.5,0.06999999999999999,1
2e4,0.5,0.5,0.06999999999999999,1
1e3,0.1,0.5,0.08,0.339
2500,0.1,0.5,0.08,0.675
5e3,0.1,0.5,0.08,0.941
1e4,0.1,0.5,0.08,0.997
15e3,0.1,0.5,0.08,1
2e4,0.1,0.5,0.08,1
1e3,0.15000000000000002,0.5,0.08,0.441
2500,0.15000000000000002,0.5,0.08,0.815
5e3,0.15000000000000002,0.5,0.08,0.977
1e4,0.15000000000000002,0.5,0.08,1
15e3,0.15000000000000002,0.5,0.08,1
2e4,0.15000000000000002,0.5,0.08,1
1e3,0.2,0.5,0.08,0.521
2500,0.2,0.5,0.08,0.887
5e3,0.2,0.5,0.08,0.996
1e4,0.2,0.5,0.08,1
15e3,0.2,0.5,0.08,1
2e4,0.2,0.5,0.08,1
1e3,0.25,0.5,0.08,0.607
2500,0.25,0.5,0.08,0.94
5e3,0.25,0.5,0.08,0.999
1e4,0.25,0.5,0.08,1
15e3,0.25,0.5,0.08,1
2e4,0.25,0.5,0.08,1
1e3,0.30000000000000004,0.5,0.08,0.658
2500,0.30000000000000004,0.5,0.08,0.957
5e3,0.30000000000000004,0.5,0.08,0.999
1e4,0.30000000000000004,0.5,0.08,1
15e3,0.30000000000000004,0.5,0.08,1
2e4,0.30000000000000004,0.5,0.08,1
1e3,0.35,0.5,0.08,0.656
2500,0.35,0.5,0.08,0.975
5e3,0.35,0.5,0.08,1
1e4,0.35,0.5,0.08,1
15e3,0.35,0.5,0.08,1
2e4,0.35,0.5,0.08,1
1e3,0.4,0.5,0.08,0.707
2500,0.4,0.5,0.08,0.987
5e3,0.4,0.5,0.08,1
1e4,0.4,0.5,0.08,1
15e3,0.4,0.5,0.08,1
2e4,0.4,0.5,0.08,1
1e3,0.45000000000000007,0.5,0.08,0.733
2500,0.45000000000000007,0.5,0.08,0.976
5e3,0.45000000000000007,0.5,0.08,1
1e4,0.45000000000000007,0.5,0.08,1
15e3,0.45000000000000007,0.5,0.08,1
2e4,0.45000000000000007,0.5,0.08,1
1e3,0.5,0.5,0.08,0.708
2500,0.5,0.5,0.08,0.979
5e3,0.5,0.5,0.08,1
1e4,0.5,0.5,0.08,1
15e3,0.5,0.5,0.08,1
2e4,0.5,0.5,0.08,1
1e3,0.1,0.5,0.09,0.392
2500,0.1,0.5,0.09,0.787
5e3,0.1,0.5,0.09,0.968
1e4,0.1,0.5,0.09,1
15e3,0.1,0.5,0.09,1
2e4,0.1,0.5,0.09,1
1e3,0.15000000000000002,0.5,0.09,0.536
2500,0.15000000000000002,0.5,0.09,0.901
5e3,0.15000000000000002,0.5,0.09,0.993
1e4,0.15000000000000002,0.5,0.09,1
15e3,0.15000000000000002,0.5,0.09,1
2e4,0.15000000000000002,0.5,0.09,1
1e3,0.2,0.5,0.09,0.599
2500,0.2,0.5,0.09,0.964
5e3,0.2,0.5,0.09,0.998
1e4,0.2,0.5,0.09,1
15e3,0.2,0.5,0.09,1
2e4,0.2,0.5,0.09,1
1e3,0.25,0.5,0.09,0.722
2500,0.25,0.5,0.09,0.97
5e3,0.25,0.5,0.09,1
1e4,0.25,0.5,0.09,1
15e3,0.25,0.5,0.09,1
2e4,0.25,0.5,0.09,1
1e3,0.30000000000000004,0.5,0.09,0.765
2500,0.30000000000000004,0.5,0.09,0.985
5e3,0.30000000000000004,0.5,0.09,1
1e4,0.30000000000000004,0.5,0.09,1
15e3,0.30000000000000004,0.5,0.09,1
2e4,0.30000000000000004,0.5,0.09,1
1e3,0.35,0.5,0.09,0.776
2500,0.35,0.5,0.09,0.992
5e3,0.35,0.5,0.09,1
1e4,0.35,0.5,0.09,1
15e3,0.35,0.5,0.09,1
2e4,0.35,0.5,0.09,1
1e3,0.4,0.5,0.09,0.781
2500,0.4,0.5,0.09,0.994
5e3,0.4,0.5,0.09,1
1e4,0.4,0.5,0.09,1
15e3,0.4,0.5,0.09,1
2e4,0.4,0.5,0.09,1
1e3,0.45000000000000007,0.5,0.09,0.795
2500,0.45000000000000007,0.5,0.09,0.997
5e3,0.45000000000000007,0.5,0.09,1
1e4,0.45000000000000007,0.5,0.09,1
15e3,0.45000000000000007,0.5,0.09,1
2e4,0.45000000000000007,0.5,0.09,1
1e3,0.5,0.5,0.09,0.824
2500,0.5,0.5,0.09,0.993
5e3,0.5,0.5,0.09,1
1e4,0.5,0.5,0.09,1
15e3,0.5,0.5,0.09,1
2e4,0.5,0.5,0.09,1
1e3,0.1,0.5,0.09999999999999999,0.478
2500,0.1,0.5,0.09999999999999999,0.874
5e3,0.1,0.5,0.09999999999999999,0.991
1e4,0.1,0.5,0.09999999999999999,1
15e3,0.1,0.5,0.09999999999999999,1
2e4,0.1,0.5,0.09999999999999999,1
1e3,0.15000000000000002,0.5,0.09999999999999999,0.608
2500,0.15000000000000002,0.5,0.09999999999999999,0.947
5e3,0.15000000000000002,0.5,0.09999999999999999,0.998
1e4,0.15000000000000002,0.5,0.09999999999999999,1
15e3,0.15000000000000002,0.5,0.09999999999999999,1
2e4,0.15000000000000002,0.5,0.09999999999999999,1
1e3,0.2,0.5,0.09999999999999999,0.716
2500,0.2,0.5,0.09999999999999999,0.983
5e3,0.2,0.5,0.09999999999999999,1
1e4,0.2,0.5,0.09999999999999999,1
15e3,0.2,0.5,0.09999999999999999,1
2e4,0.2,0.5,0.09999999999999999,1
1e3,0.25,0.5,0.09999999999999999,0.789
2500,0.25,0.5,0.09999999999999999,0.991
5e3,0.25,0.5,0.09999999999999999,1
1e4,0.25,0.5,0.09999999999999999,1
15e3,0.25,0.5,0.09999999999999999,1
2e4,0.25,0.5,0.09999999999999999,1
1e3,0.30000000000000004,0.5,0.09999999999999999,0.828
2500,0.30000000000000004,0.5,0.09999999999999999,0.998
5e3,0.30000000000000004,0.5,0.09999999999999999,1
1e4,0.30000000000000004,0.5,0.09999999999999999,1
15e3,0.30000000000000004,0.5,0.09999999999999999,1
2e4,0.30000000000000004,0.5,0.09999999999999999,1
1e3,0.35,0.5,0.09999999999999999,0.871
2500,0.35,0.5,0.09999999999999999,0.999
5e3,0.35,0.5,0.09999999999999999,1
1e4,0.35,0.5,0.09999999999999999,1
15e3,0.35,0.5,0.09999999999999999,1
2e4,0.35,0.5,0.09999999999999999,1
1e3,0.4,0.5,0.09999999999999999,0.872
2500,0.4,0.5,0.09999999999999999,0.999
5e3,0.4,0.5,0.09999999999999999,1
1e4,0.4,0.5,0.09999999999999999,1
15e3,0.4,0.5,0.09999999999999999,1
2e4,0.4,0.5,0.09999999999999999,1
1e3,0.45000000000000007,0.5,0.09999999999999999,0.881
2500,0.45000000000000007,0.5,0.09999999999999999,1
5e3,0.45000000000000007,0.5,0.09999999999999999,1
1e4,0.45000000000000007,0.5,0.09999999999999999,1
15e3,0.45000000000000007,0.5,0.09999999999999999,1
2e4,0.45000000000000007,0.5,0.09999999999999999,1
1e3,0.5,0.5,0.09999999999999999,0.897
2500,0.5,0.5,0.09999999999999999,0.998
5e3,0.5,0.5,0.09999999999999999,1
1e4,0.5,0.5,0.09999999999999999,1
15e3,0.5,0.5,0.09999999999999999,1
2e4,0.5,0.5,0.09999999999999999,1
