n,ctl,t0,lift,power
5e3,0.35,0.3,0.02,0.29
1e4,0.35,0.3,0.02,0.545
15e3,0.35,0.3,0.02,0.739
2e4,0.35,0.3,0.02,0.828
5e3,0.4,0.3,0.02,0.34
1e4,0.4,0.3,0.02,0.543
15e3,0.4,0.3,0.02,0.714
2e4,0.4,0.3,0.02,0.865
5e3,0.45000000000000007,0.3,0.02,0.321
1e4,0.45000000000000007,0.3,0.02,0.578
15e3,0.45000000000000007,0.3,0.02,0.754
2e4,0.45000000000000007,0.3,0.02,0.871
5e3,0.5,0.3,0.02,0.335
1e4,0.5,0.3,0.02,0.579
15e3,0.5,0.3,0.02,0.731
2e4,0.5,0.3,0.02,0.858
5e3,0.1,0.5,0.02,0.122
1e4,0.1,0.5,0.02,0.225
15e3,0.1,0.5,0.02,0.332
2e4,0.1,0.5,0.02,0.401
5e3,0.15000000000000002,0.5,0.02,0.184
1e4,0.15000000000000002,0.5,0.02,0.306
15e3,0.15000000000000002,0.5,0.02,0.399
2e4,0.15000000000000002,0.5,0.02,0.523
5e3,0.2,0.5,0.02,0.227
1e4,0.2,0.5,0.02,0.376
15e3,0.2,0.5,0.02,0.495
2e4,0.2,0.5,0.02,0.603
5e3,0.25,0.5,0.02,0.235
1e4,0.25,0.5,0.02,0.438
15e3,0.25,0.5,0.02,0.539
2e4,0.25,0.5,0.02,0.685
5e3,0.30000000000000004,0.5,0.02,0.28
1e4,0.30000000000000004,0.5,0.02,0.451
15e3,0.30000000000000004,0.5,0.02,0.632
2e4,0.30000000000000004,0.5,0.02,0.741
5e3,0.35,0.5,0.02,0.259
1e4,0.35,0.5,0.02,0.48
15e3,0.35,0.5,0.02,0.648
2e4,0.35,0.5,0.02,0.769
5e3,0.4,0.5,0.02,0.289
1e4,0.4,0.5,0.02,0.516
15e3,0.4,0.5,0.02,0.638
2e4,0.4,0.5,0.02,0.793
5e3,0.45000000000000007,0.5,0.02,0.281
1e4,0.45000000000000007,0.5,0.02,0.491
15e3,0.45000000000000007,0.5,0.02,0.68
2e4,0.45000000000000007,0.5,0.02,0.796
5e3,0.5,0.5,0.02,0.295
1e4,0.5,0.5,0.02,0.528
15e3,0.5,0.5,0.02,0.695
2e4,0.5,0.5,0.02,0.824
5e3,0.1,0.7,0.02,0.173
1e4,0.1,0.7,0.02,0.264
15e3,0.1,0.7,0.02,0.359
2e4,0.1,0.7,0.02,0.475
5e3,0.15000000000000002,0.7,0.02,0.199
1e4,0.15000000000000002,0.7,0.02,0.355
15e3,0.15000000000000002,0.7,0.02,0.499
2e4,0.15000000000000002,0.7,0.02,0.626
5e3,0.2,0.7,0.02,0.262
1e4,0.2,0.7,0.02,0.426
15e3,0.2,0.7,0.02,0.573
2e4,0.2,0.7,0.02,0.711
5e3,0.25,0.7,0.02,0.286
1e4,0.25,0.7,0.02,0.486
15e3,0.25,0.7,0.02,0.648
2e4,0.25,0.7,0.02,0.762
5e3,0.30000000000000004,0.7,0.02,0.309
1e4,0.30000000000000004,0.7,0.02,0.53
15e3,0.30000000000000004,0.7,0.02,0.72
2e4,0.30000000000000004,0.7,0.02,0.826
5e3,0.35,0.7,0.02,0.329
1e4,0.35,0.7,0.02,0.581
15e3,0.35,0.7,0.02,0.74
2e4,0.35,0.7,0.02,0.862
5e3,0.4,0.7,0.02,0.335
1e4,0.4,0.7,0.02,0.598
15e3,0.4,0.7,0.02,0.739
2e4,0.4,0.7,0.02,0.849
5e3,0.45000000000000007,0.7,0.02,0.327
1e4,0.45000000000000007,0.7,0.02,0.6
15e3,0.45000000000000007,0.7,0.02,0.78
2e4,0.45000000000000007,0.7,0.02,0.866
5e3,0.5,0.7,0.02,0.372
1e4,0.5,0.7,0.02,0.573
15e3,0.5,0.7,0.02,0.769
2e4,0.5,0.7,0.02,0.863
5e3,0.1,0.3,0.03,0.294
1e4,0.1,0.3,0.03,0.471
15e3,0.1,0.3,0.03,0.638
2e4,0.1,0.3,0.03,0.775
5e3,0.15000000000000002,0.3,0.03,0.381
1e4,0.15000000000000002,0.3,0.03,0.652
15e3,0.15000000000000002,0.3,0.03,0.813
2e4,0.15000000000000002,0.3,0.03,0.901
5e3,0.2,0.3,0.03,0.456
1e4,0.2,0.3,0.03,0.744
15e3,0.2,0.3,0.03,0.884
2e4,0.2,0.3,0.03,0.953
5e3,0.25,0.3,0.03,0.472
1e4,0.25,0.3,0.03,0.803
15e3,0.25,0.3,0.03,0.917
2e4,0.25,0.3,0.03,0.974
5e3,0.30000000000000004,0.3,0.03,0.545
1e4,0.30000000000000004,0.3,0.03,0.829
15e3,0.30000000000000004,0.3,0.03,0.955
2e4,0.30000000000000004,0.3,0.03,0.987
5e3,0.35,0.3,0.03,0.577
1e4,0.35,0.3,0.03,0.883
15e3,0.35,0.3,0.03,0.968
2e4,0.35,0.3,0.03,0.989
5e3,0.4,0.3,0.03,0.601
1e4,0.4,0.3,0.03,0.878
15e3,0.4,0.3,0.03,0.977
2e4,0.4,0.3,0.03,0.995
5e3,0.45000000000000007,0.3,0.03,0.623
1e4,0.45000000000000007,0.3,0.03,0.915
15e3,0.45000000000000007,0.3,0.03,0.984
2e4,0.45000000000000007,0.3,0.03,0.996
5e3,0.5,0.3,0.03,0.632
1e4,0.5,0.3,0.03,0.906
15e3,0.5,0.3,0.03,0.975
2e4,0.5,0.3,0.03,0.996
5e3,0.1,0.5,0.03,0.237
1e4,0.1,0.5,0.03,0.438
15e3,0.1,0.5,0.03,0.576
2e4,0.1,0.5,0.03,0.718
5e3,0.15000000000000002,0.5,0.03,0.331
1e4,0.15000000000000002,0.5,0.03,0.598
15e3,0.15000000000000002,0.5,0.03,0.756
2e4,0.15000000000000002,0.5,0.03,0.863
5e3,0.2,0.5,0.03,0.38
1e4,0.2,0.5,0.03,0.669
15e3,0.2,0.5,0.03,0.851
2e4,0.2,0.5,0.03,0.913
5e3,0.25,0.5,0.03,0.471
1e4,0.25,0.5,0.03,0.73
15e3,0.25,0.5,0.03,0.898
2e4,0.25,0.5,0.03,0.952
5e3,0.30000000000000004,0.5,0.03,0.513
1e4,0.30000000000000004,0.5,0.03,0.797
15e3,0.30000000000000004,0.5,0.03,0.915
2e4,0.30000000000000004,0.5,0.03,0.981
5e3,0.35,0.5,0.03,0.493
1e4,0.35,0.5,0.03,0.81
15e3,0.35,0.5,0.03,0.934
2e4,0.35,0.5,0.03,0.99
5e3,0.4,0.5,0.03,0.555
1e4,0.4,0.5,0.03,0.847
15e3,0.4,0.5,0.03,0.937
2e4,0.4,0.5,0.03,0.991
5e3,0.45000000000000007,0.5,0.03,0.553
1e4,0.45000000000000007,0.5,0.03,0.845
15e3,0.45000000000000007,0.5,0.03,0.952
2e4,0.45000000000000007,0.5,0.03,0.992
5e3,0.5,0.5,0.03,0.576
1e4,0.5,0.5,0.03,0.85
15e3,0.5,0.5,0.03,0.953
2e4,0.5,0.5,0.03,0.985
5e3,0.1,0.7,0.03,0.299
1e4,0.1,0.7,0.03,0.529
15e3,0.1,0.7,0.03,0.71
2e4,0.1,0.7,0.03,0.816
5e3,0.15000000000000002,0.7,0.03,0.409
1e4,0.15000000000000002,0.7,0.03,0.655
15e3,0.15000000000000002,0.7,0.03,0.817
2e4,0.15000000000000002,0.7,0.03,0.904
5e3,0.2,0.7,0.03,0.446
1e4,0.2,0.7,0.03,0.764
15e3,0.2,0.7,0.03,0.916
2e4,0.2,0.7,0.03,0.961
5e3,0.25,0.7,0.03,0.543
1e4,0.25,0.7,0.03,0.815
15e3,0.25,0.7,0.03,0.934
2e4,0.25,0.7,0.03,0.974
5e3,0.30000000000000004,0.7,0.03,0.576
1e4,0.30000000000000004,0.7,0.03,0.868
15e3,0.30000000000000004,0.7,0.03,0.956
2e4,0.30000000000000004,0.7,0.03,0.992
5e3,0.35,0.7,0.03,0.605
1e4,0.35,0.7,0.03,0.892
15e3,0.35,0.7,0.03,0.975
2e4,0.35,0.7,0.03,0.998
5e3,0.4,0.7,0.03,0.626
1e4,0.4,0.7,0.03,0.897
15e3,0.4,0.7,0.03,0.971
2e4,0.4,0.7,0.03,0.998
5e3,0.45000000000000007,0.7,0.03,0.635
1e4,0.45000000000000007,0.7,0.03,0.908
15e3,0.45000000000000007,0.7,0.03,0.981
2e4,0.45000000000000007,0.7,0.03,0.999
5e3,0.5,0.7,0.03,0.66
1e4,0.5,0.7,0.03,0.909
15e3,0.5,0.7,0.03,0.987
2e4,0.5,0.7,0.03,0.995
5e3,0.1,0.3,0.04,0.476
1e4,0.1,0.3,0.04,0.725
15e3,0.1,0.3,0.04,0.876
2e4,0.1,0.3,0.04,0.952
5e3,0.15000000000000002,0.3,0.04,0.579
1e4,0.15000000000000002,0.3,0.04,0.866
15e3,0.15000000000000002,0.3,0.04,0.964
2e4,0.15000000000000002,0.3,0.04,0.992
