year,pace
1996,96.2
1996,93.2
1996,90.9
1996,95.4
1996,90.2
1996,93.5
1996,93.2
1996,92.2
1996,91
1997,90
1997,90
1997,90.3
1997,88.2
1997,86.8
1997,84.5
1997,91.6
1997,91.1
1997,90.9
1997,90.5
1997,82.9
1997,88.6
1997,92.4
1997,89
1997,93.2
1997,88.3
1997,89.5
1997,90.7
1997,90.6
1997,91.3
1997,91
1997,92.4
1997,91.9
1997,95.3
1997,92.4
1997,89
1997,95.8
1997,87.3
1997,88.4
1998,89
1998,93.6
1998,89.8
1998,87.9
1998,89.2
1998,87.9
1998,91.4
1998,87.7
1998,88.4
1998,89.9
1998,88.2
1998,89.4
1998,88.2
1998,91
1998,91.8
1998,90
1998,92.6
1998,87.1
1998,91
1998,90.2
1998,90.4
1998,93.3
1998,92.1
1998,89.9
1998,92.1
1998,92.4
1998,92.6
1998,91.4
1998,89.7
1999,88.6
1999,89.2
1999,87
1999,84.8
1999,86.3
1999,86.4
1999,88.8
1999,85.3
1999,91.6
1999,88.6
1999,90
1999,87
1999,86.9
1999,88.8
1999,89.7
1999,91
1999,96
1999,86.4
1999,88.8
1999,89.6
1999,91.5
1999,89.8
1999,89
1999,88.9
1999,91.5
1999,90.5
1999,88.1
1999,89.5
1999,89
2e3,93.3
2e3,89.9
2e3,90.8
2e3,94
2e3,89.6
2e3,93.1
2e3,99.3
2e3,89.7
2e3,91.8
2e3,93.9
2e3,89.2
2e3,93.4
2e3,95.7
2e3,92.7
2e3,97.3
2e3,92.7
2e3,94.9
2e3,92.5
2e3,94.2
2e3,94.6
2e3,92.5
2e3,94.7
2e3,92.7
2e3,95.7
2e3,91
2e3,91.7
2e3,95.4
2e3,89.4
2e3,93.9
2001,89.6
2001,94.4
2001,89.8
2001,93.2
2001,89.1
2001,91.7
2001,90.6
2001,92.1
2001,90.4
2001,93.1
2001,86.7
2001,91.8
2001,87.1
2001,90.9
2001,89.4
2001,91.6
2001,93.2
2001,89.4
2001,92.6
2001,94.7
2001,89.6
2001,92.6
2001,91.2
2001,91.7
2001,91.8
2001,91.9
2001,92.7
2001,94.1
2001,89.3
2002,95.6
2002,92.1
2002,90
2002,92.8
2002,91.8
2002,90.5
2002,89
2002,89.3
2002,92.5
2002,90
2002,88.9
2002,93.2
2002,90.3
