"","Estimate","Est.Error","2.5%ile","97.5%ile"
"Intercept",109.001151162559,0.161711285862827,108.692619645165,109.328174817762
"blkp100",-1.04399845800611,0.115882663557249,-1.27473842723128,-0.814797823720605
"year",-0.0219031588958,0.00948587546275719,-0.0405976219085957,-0.00349865827849803
"blkp100:year",-0.0487669466226029,0.00689730240505832,-0.0627217919945779,-0.0354405812111927
